"region","fisher_pval_log","FE_score"
"A13",0.673091107260796,1.7972972972973
"ARH",1.97016879824851,2.70325203252033
"CA1so",2.08994816844453,3.24390243902439
"CA1sp",2.19344923771592,3.43589743589744
"CA1sr",0.922626709971449,2.16477272727273
"CA2so",1.72679073731072,2.40942028985507
"CA2sp",3.98527343147339,2.97777777777778
"CA2sr",1.35070191782194,2.36444444444444
"CA3slu",1.75082517999029,2.56302521008403
"CA3so",1.01945931269358,2.43636363636364
"CA3sp",1.77746946926732,3.82857142857143
"CA3sr",0.950521859181298,1.73177083333333
"CEAc",1.22856327398338,2.79166666666667
"CEAl",2.28875047996669,3.62162162162162
"CEAm",1.73471111346038,2.97777777777778
"CL",2.24468963353637,2.71621621621622
"CM",2.82291023565672,3.52631578947368
"CP",1.8978974436639,4.1875
"CTXsp",2.3384382641558,3.72222222222222
"DMHa",2.59380367641144,3.19047619047619
"DMHp",1.53343723209214,3.19047619047619
"GPe",1.2272925211341,4.06060606060606
"GPi",2.36178971965512,3.76470588235294
"IMD",1.14424864614054,2.60526315789474
"Isocortex",2.3384382641558,3.72222222222222
"LD",3.57366109681571,3.44852941176471
"LH",2.6107626883984,4.32258064516129
"LHA",1.83196461982523,3.15294117647059
"MDc",0.653819393041129,1.76315789473684
"MDl",1.35239065034388,2.48148148148148
"MDm",1.19491694604728,2.71621621621622
"ME",0.781387864258094,1.91826923076923
"MEAad",2.88417989239564,3.62162162162162
"MEAav",2.82291023565672,3.52631578947368
"MH",1.15058589421433,3.72222222222222
"OLF",1.35239065034388,2.48148148148148
"PCN",0.515234454970517,1.81081081081081
"PO",2.44093539169477,3.35858585858586
"PR",0.296479263567944,1.26829268292683
"PVT",1.6883640725283,2.8972972972973
"RE",2.68881751062923,3.325
"RHP",1.6883640725283,2.8972972972973
"RT",1.99070675416685,3.45806451612903
"SI",0.731685404517987,2.40740740740741
"SMT",2.24044580039214,3.52631578947368
"TU",1.56562191546355,3.26829268292683
"VAL",1.83196461982523,3.15294117647059
"VL",2.27311528894315,3.30049261083744
"VM",0.952343453105865,2.29714285714286
"VMHc",2.38959078660318,3.82857142857143
"VMHdm",2.94723163814273,3.72222222222222
"VMHvl",1.01492329221426,3.19047619047619
"VPL",1.4557206560096,3.35
"VPM",2.59504611948568,3.60215053763441
"alv",2.14769174715524,3.35
"amc",1.22856327398338,2.79166666666667
"ec",2.27558903390872,3.59459459459459
"fi",2.38959078660318,3.82857142857143
