"Context","feat_A","feat_B","coef","n_cells_cor","feat_A_type","feat_B_type","Region","Cell_type","Metabotype","Niche","CT_Region"
"All_cells","rna_Chat","metabo_C2H7NO3S-H",0.539270930391406,309,"RNA","Metabo",NA,NA,NA,NA,NA
"All_cells","rna_Gpx3","metabo_C6H12O6+Cl",0.523352612689275,8331,"RNA","Metabo",NA,NA,NA,NA,NA
"All_cells","rna_Gpx3","metabo_C2H7NO3S-H",-0.603649971610011,8333,"RNA","Metabo",NA,NA,NA,NA,NA
"Region","rna_Ache","metabo_C6H12O6+Cl",-0.509642683845546,33,"RNA","Metabo","TU",NA,NA,NA,NA
"Region","rna_Ache","metabo_C4H6O5-H",0.521630256467097,31,"RNA","Metabo","TU",NA,NA,NA,NA
"Region","rna_Npy2r","metabo_C2H7NO3S-H",-0.501992030351074,48,"RNA","Metabo","CA3so",NA,NA,NA,NA
"Region","rna_Npy2r","metabo_C5H10N2O3-H",0.609821535816154,48,"RNA","Metabo","CA3so",NA,NA,NA,NA
"Region","rna_Rbfox3","metabo_C4H7NO4-H",0.542084879440891,82,"RNA","Metabo","CA3so",NA,NA,NA,NA
"Region","rna_Tubb3","metabo_C6H12O9S-H",0.505008692059821,41,"RNA","Metabo","CA3so",NA,NA,NA,NA
"Region","rna_Ndnf","metabo_C2H5O6P+Cl",0.628179354419441,31,"RNA","Metabo","OLF",NA,NA,NA,NA
"Region","rna_Enpp2","metabo_C6H10O6-H",0.506544353785303,45,"RNA","Metabo","CTXsp",NA,NA,NA,NA
"Region","rna_Gusb","metabo_C8H12N2O4-H",0.51763347309054,30,"RNA","Metabo","CTXsp",NA,NA,NA,NA
"Region","rna_Hcn1","metabo_C19H37O6P-H",0.502475621749002,33,"RNA","Metabo","CTXsp",NA,NA,NA,NA
"Region","rna_Gad2","metabo_C5H9NO3-H",-0.505499965590938,47,"RNA","Metabo","DMHp",NA,NA,NA,NA
"Region","rna_Nefh","metabo_C7H14OS2+Cl",-0.551671428277728,33,"RNA","Metabo","DMHp",NA,NA,NA,NA
"Region","rna_Ache","metabo_C5H9NO3-H",0.522676566715652,32,"RNA","Metabo","VMHc",NA,NA,NA,NA
"Region","rna_Aldh2","metabo_C21H43O7P-H",0.586382835054605,40,"RNA","Metabo","VMHc",NA,NA,NA,NA
"Region","rna_Pde7b","metabo_C28H38O4-H",0.580764741495743,32,"RNA","Metabo","VMHc",NA,NA,NA,NA
"Region","rna_Ust","metabo_C5H4N4O2-H",0.506278094897498,43,"RNA","Metabo","VMHc",NA,NA,NA,NA
"Region","rna_Adcyap1","metabo_C28H39NO4-H",-0.529336464480263,32,"RNA","Metabo","LHA",NA,NA,NA,NA
"Region","rna_Pde1a","metabo_C21H43O7P-H",0.534567963028602,30,"RNA","Metabo","LHA",NA,NA,NA,NA
"Region","rna_Plce1","metabo_C6H6O6-H",0.536530253955952,45,"RNA","Metabo","LHA",NA,NA,NA,NA
"Region","rna_Nos1","metabo_C4H8N2O3-H",0.523929139286601,36,"RNA","Metabo","DMHa",NA,NA,NA,NA
"Region","rna_Ogt","metabo_C6H12O7-H",-0.519361168703131,36,"RNA","Metabo","DMHa",NA,NA,NA,NA
"Region","rna_Plce1","metabo_C6H10O7-H",0.507914066100973,31,"RNA","Metabo","DMHa",NA,NA,NA,NA
"Region","rna_Acsbg1","metabo_C6H5IO-H",0.500893237181118,31,"RNA","Metabo","Isocortex",NA,NA,NA,NA
"Region","rna_Gja1","metabo_C19H37O6P-H",0.505438393984874,30,"RNA","Metabo","Isocortex",NA,NA,NA,NA
"Region","rna_Gusb","metabo_C5H9NO4-H",-0.517528159989617,30,"RNA","Metabo","CP",NA,NA,NA,NA
"Region","rna_Slc17a7","metabo_C6H12O6+Cl",-0.506865326724263,42,"RNA","Metabo","CEAm",NA,NA,NA,NA
"Region","rna_Sst","metabo_C2H6O8P2-H",-0.583828850989241,35,"RNA","Metabo","MEAad",NA,NA,NA,NA
"Region","rna_Ak7","metabo_C4H7NO4-H",-0.623490237372574,42,"RNA","Metabo","VMHdm",NA,NA,NA,NA
"Region","rna_Nefh","metabo_C5H12NO6P-H",-0.506302271563444,32,"RNA","Metabo","VMHdm",NA,NA,NA,NA
"Region","rna_Slc17a6","metabo_C5H9O5P-H",-0.585167593718932,32,"RNA","Metabo","VMHdm",NA,NA,NA,NA
