"pathway_source","pathway_name","gene","metabo","gene_rxn_id","metabo_rxn_id","metabo_type","dist"
"kegg","rn00340","Hdc","C6H9N3O2","rn:R01167","rn:R01163","product",1
"kegg","rn00340","Hdc","C6H9N3O2","rn:R01167","rn:R01164","substrate",1
"kegg","rn00340","Hdc","C6H9N3O2","rn:R01167","rn:R01166","product",1
"kegg","rn00340","Hdc","C6H9N3O2","rn:R01167","rn:R01167","substrate",0
"kegg","rn00340","Hdc","C6H9N3O2","rn:R01167","rn:R01168","substrate",1
"kegg","rn00340","Hdc","C6H9N3O2","rn:R01167","rn:R01169","substrate",1
"kegg","rn00340","Hdc","C5H9NO4","rn:R01167","rn:R01161",NA,1
"kegg","rn00340","Aldh2","C10H15N5O10P2","rn:R04065","rn:R04068",NA,1
"kegg","rn00340","Hdc","C10H15N5O10P2","rn:R01167","rn:R01164",NA,1
"kegg","rn00340","Hdc","C5H4O5","rn:R01167","rn:R01161",NA,1
"kegg","rn00340","Aldh2","H3O4P","rn:R04065","rn:R04068",NA,1
"kegg","rn00340","Hdc","H3O4P","rn:R01167","rn:R01164",NA,1
"kegg","rn00340","Aldh2","H4O7P2","rn:R04065","rn:R04068",NA,1
"kegg","rn00340","Hdc","C5H6O5","rn:R01167","rn:R01161",NA,1
"kegg","rn00410","Aldh2","C6H9N3O2","rn:R00904","rn:R01164",NA,1
"kegg","rn00410","Aldh2","C6H9N3O2","rn:R00904","rn:R01166",NA,1
"kegg","rn00410","Gad1","C6H9N3O2","rn:R00489","rn:R01164",NA,1
"kegg","rn00410","Gad1","C6H9N3O2","rn:R00489","rn:R01166",NA,1
"kegg","rn00410","Gad2","C6H9N3O2","rn:R00489","rn:R01164",NA,1
"kegg","rn00410","Gad2","C6H9N3O2","rn:R00489","rn:R01166",NA,1
"kegg","rn00410","Csad","C6H9N3O2","rn:R00489","rn:R01164",NA,1
"kegg","rn00410","Csad","C6H9N3O2","rn:R00489","rn:R01166",NA,1
"kegg","rn00410","Aldh2","C5H9NO4","rn:R00904","rn:R00908",NA,1
"kegg","rn00410","Gad1","C5H9NO4","rn:R00489","rn:R00908",NA,1
"kegg","rn00410","Gad2","C5H9NO4","rn:R00489","rn:R00908",NA,1
"kegg","rn00410","Csad","C5H9NO4","rn:R00489","rn:R00908",NA,1
"kegg","rn00410","Aldh2","C10H14N5O7P","rn:R00904","rn:R02473",NA,1
"kegg","rn00410","Aldh2","C10H14N5O7P","rn:R00904","rn:R09379",NA,1
"kegg","rn00410","Gad1","C10H14N5O7P","rn:R00489","rn:R02473",NA,1
"kegg","rn00410","Gad1","C10H14N5O7P","rn:R00489","rn:R09379",NA,1
"kegg","rn00410","Gad2","C10H14N5O7P","rn:R00489","rn:R02473",NA,1
"kegg","rn00410","Gad2","C10H14N5O7P","rn:R00489","rn:R09379",NA,1
"kegg","rn00410","Csad","C10H14N5O7P","rn:R00489","rn:R02473",NA,1
"kegg","rn00410","Csad","C10H14N5O7P","rn:R00489","rn:R09379",NA,1
"kegg","rn00410","Aldh2","C5H9NO3","rn:R00904","rn:R00909","substrate",1
"kegg","rn00410","Aldh2","C10H15N5O10P2","rn:R00904","rn:R00910",NA,1
"kegg","rn00410","Aldh2","C10H15N5O10P2","rn:R00904","rn:R00912",NA,1
"kegg","rn00410","Aldh2","C10H15N5O10P2","rn:R00904","rn:R01164",NA,1
"kegg","rn00410","Aldh2","C10H15N5O10P2","rn:R00904","rn:R03286",NA,1
"kegg","rn00410","Gad1","C10H15N5O10P2","rn:R00489","rn:R00910",NA,1
"kegg","rn00410","Gad1","C10H15N5O10P2","rn:R00489","rn:R00912",NA,1
"kegg","rn00410","Gad1","C10H15N5O10P2","rn:R00489","rn:R01164",NA,1
"kegg","rn00410","Gad1","C10H15N5O10P2","rn:R00489","rn:R03286",NA,1
"kegg","rn00410","Gad2","C10H15N5O10P2","rn:R00489","rn:R00910",NA,1
"kegg","rn00410","Gad2","C10H15N5O10P2","rn:R00489","rn:R00912",NA,1
"kegg","rn00410","Gad2","C10H15N5O10P2","rn:R00489","rn:R01164",NA,1
"kegg","rn00410","Gad2","C10H15N5O10P2","rn:R00489","rn:R03286",NA,1
"kegg","rn00410","Csad","C10H15N5O10P2","rn:R00489","rn:R00910",NA,1
"kegg","rn00410","Csad","C10H15N5O10P2","rn:R00489","rn:R00912",NA,1
"kegg","rn00410","Csad","C10H15N5O10P2","rn:R00489","rn:R01164",NA,1
"kegg","rn00410","Csad","C10H15N5O10P2","rn:R00489","rn:R03286",NA,1
"kegg","rn00410","Aldh2","C5H4O5","rn:R00904","rn:R00908",NA,1
"kegg","rn00410","Gad1","C5H4O5","rn:R00489","rn:R00908",NA,1
"kegg","rn00410","Gad2","C5H4O5","rn:R00489","rn:R00908",NA,1
"kegg","rn00410","Csad","C5H4O5","rn:R00489","rn:R00908",NA,1
"kegg","rn00410","Aldh2","C4H9NO2","rn:R02549","rn:R02549","product",0
"kegg","rn00410","Aldh2","C4H7NO4","rn:R00904","rn:R00489","substrate",1
"kegg","rn00410","Gad1","C4H7NO4","rn:R00489","rn:R00489","substrate",0
"kegg","rn00410","Gad2","C4H7NO4","rn:R00489","rn:R00489","substrate",0
"kegg","rn00410","Csad","C4H7NO4","rn:R00489","rn:R00489","substrate",0
"kegg","rn00410","Aldh2","C10H16N4O3","rn:R00904","rn:R03286","product",1
"kegg","rn00410","Gad1","C10H16N4O3","rn:R00489","rn:R03286","product",1
"kegg","rn00410","Gad2","C10H16N4O3","rn:R00489","rn:R03286","product",1
"kegg","rn00410","Csad","C10H16N4O3","rn:R00489","rn:R03286","product",1
"kegg","rn00410","Aldh2","H3O4P","rn:R00904","rn:R00910",NA,1
"kegg","rn00410","Aldh2","H3O4P","rn:R00904","rn:R00912",NA,1
"kegg","rn00410","Aldh2","H3O4P","rn:R00904","rn:R01164",NA,1
"kegg","rn00410","Aldh2","H3O4P","rn:R00904","rn:R03286",NA,1
"kegg","rn00410","Gad1","H3O4P","rn:R00489","rn:R00910",NA,1
"kegg","rn00410","Gad1","H3O4P","rn:R00489","rn:R00912",NA,1
"kegg","rn00410","Gad1","H3O4P","rn:R00489","rn:R01164",NA,1
"kegg","rn00410","Gad1","H3O4P","rn:R00489","rn:R03286",NA,1
"kegg","rn00410","Gad2","H3O4P","rn:R00489","rn:R00910",NA,1
"kegg","rn00410","Gad2","H3O4P","rn:R00489","rn:R00912",NA,1
"kegg","rn00410","Gad2","H3O4P","rn:R00489","rn:R01164",NA,1
"kegg","rn00410","Gad2","H3O4P","rn:R00489","rn:R03286",NA,1
"kegg","rn00410","Csad","H3O4P","rn:R00489","rn:R00910",NA,1
"kegg","rn00410","Csad","H3O4P","rn:R00489","rn:R00912",NA,1
"kegg","rn00410","Csad","H3O4P","rn:R00489","rn:R01164",NA,1
"kegg","rn00410","Csad","H3O4P","rn:R00489","rn:R03286",NA,1
"kegg","rn00410","Aldh2","H4O7P2","rn:R00904","rn:R02473",NA,1
"kegg","rn00410","Aldh2","H4O7P2","rn:R00904","rn:R09379",NA,1
"kegg","rn00410","Gad1","H4O7P2","rn:R00489","rn:R02473",NA,1
"kegg","rn00410","Gad1","H4O7P2","rn:R00489","rn:R09379",NA,1
"kegg","rn00410","Gad2","H4O7P2","rn:R00489","rn:R02473",NA,1
"kegg","rn00410","Gad2","H4O7P2","rn:R00489","rn:R09379",NA,1
"kegg","rn00410","Csad","H4O7P2","rn:R00489","rn:R02473",NA,1
"kegg","rn00410","Csad","H4O7P2","rn:R00489","rn:R09379",NA,1
"kegg","rn00410","Aldh2","C5H6O5","rn:R00904","rn:R00908",NA,1
"kegg","rn00410","Gad1","C5H6O5","rn:R00489","rn:R00908",NA,1
"kegg","rn00410","Gad2","C5H6O5","rn:R00489","rn:R00908",NA,1
"kegg","rn00410","Csad","C5H6O5","rn:R00489","rn:R00908",NA,1
"kegg","rn00240","Rrm2","C10H15N5O10P2","rn:R02018","rn:R02098",NA,1
"kegg","rn00240","Rrm2","C10H15N5O10P2","rn:R02018","rn:R02331",NA,1
"kegg","rn00240","Rrm2","C10H15N5O10P2","rn:R02024","rn:R00512",NA,1
"kegg","rn00240","Rrm2","C10H15N5O10P2","rn:R02024","rn:R00570",NA,1
"kegg","rn00240","Rrm2","C10H15N5O10P2","rn:R02024","rn:R01665",NA,1
"kegg","rn00240","Rrm2","C10H15N5O10P2","rn:R02024","rn:R02326",NA,1
"kegg","rn00240","Rrm2","H3O4P","rn:R02018","rn:R02330",NA,1
"kegg","rn00240","Rrm2","H3O4P","rn:R02024","rn:R00514",NA,1
"kegg","rn00240","Rrm2","H3O4P","rn:R02024","rn:R00569",NA,1
"kegg","rn00280","Aldh2","C4H6O4","rn:R03869","rn:R03383","substrate",1
"kegg","rn00280","Aldh2","C4H6O4","rn:R03869","rn:R03869","product",0
"kegg","rn00280","Acaa2","C4H6O4","rn:R00238","rn:R00410",NA,1
"kegg","rn00280","Aldh2","C5H9NO4","rn:R03869","rn:R04188",NA,1
"kegg","rn00280","Aldh2","C10H14N5O7P","rn:R03869","rn:R03383",NA,1
"kegg","rn00280","Acaa2","C10H14N5O7P","rn:R00238","rn:R01357",NA,1
"kegg","rn00280","Aldh2","C4H9NO2","rn:R03869","rn:R02050","substrate",1
"kegg","rn00280","Acaa2","C10H15N5O10P2","rn:R00927","rn:R01859",NA,1
"kegg","rn00280","Aldh2","C5H4O5","rn:R03869","rn:R04188",NA,1
"kegg","rn00280","Aldh2","C4H4O4","rn:R03869","rn:R03383","substrate",1
"kegg","rn00280","Aldh2","C4H4O4","rn:R03869","rn:R03869","product",0
"kegg","rn00280","Acaa2","H3O4P","rn:R00927","rn:R01859",NA,1
"kegg","rn00280","Aldh2","H4O7P2","rn:R03869","rn:R03383",NA,1
"kegg","rn00280","Acaa2","H4O7P2","rn:R00238","rn:R01357",NA,1
"kegg","rn00280","Aldh2","C5H6O5","rn:R03869","rn:R04188",NA,1
"kegg","rn00500","Hk1","C6H12O6","rn:R00299","rn:R00299","substrate",0
"kegg","rn00500","Hk1","C6H12O6","rn:R00299","rn:R00839",NA,1
"kegg","rn00500","Hk1","C6H12O6","rn:R00299","rn:R00960",NA,1
"kegg","rn00500","Hk1","C6H12O6","rn:R00760","rn:R00801",NA,1
"kegg","rn00500","Hk1","C6H12O6","rn:R00760","rn:R00760","substrate",0
"kegg","rn00500","Hk1","C6H12O6","rn:R00760","rn:R03921",NA,1
"kegg","rn00500","Hk1","C6H13O9P","rn:R00299","rn:R00299","product",0
"kegg","rn00500","Hk1","C6H13O9P","rn:R00299","rn:R00839",NA,1
"kegg","rn00500","Hk1","C6H13O9P","rn:R00299","rn:R00771","product",1
"kegg","rn00500","Hk1","C6H13O9P","rn:R00299","rn:R00960","substrate",1
"kegg","rn00500","Hk1","C6H13O9P","rn:R00299","rn:R08639","substrate",1
"kegg","rn00500","Hk1","C6H13O9P","rn:R00760","rn:R03921",NA,1
"kegg","rn00500","Hk1","C6H13O9P","rn:R00760","rn:R00760","product",0
"kegg","rn00500","Hk1","C6H13O9P","rn:R00760","rn:R00771","product",1
"kegg","rn00500","Hk1","C10H15N5O10P2","rn:R00299","rn:R00299",NA,0
"kegg","rn00500","Hk1","C10H15N5O10P2","rn:R00760","rn:R00760",NA,0
"kegg","rn00330","Aldh2","C6H9N3O2","rn:R02549","rn:R01991",NA,1
"kegg","rn00330","Aldh2","C6H9N3O2","rn:R02549","rn:R01992",NA,1
"kegg","rn00330","Aldh2","C5H9NO4","rn:R02549","rn:R01155",NA,1
"kegg","rn00330","Aldh2","C5H9NO4","rn:R02549","rn:R07419",NA,1
"kegg","rn00330","Arg1","C5H9NO4","rn:R00551","rn:R00667",NA,1
"kegg","rn00330","Aldh2","C10H15N5O10P2","rn:R02549","rn:R01991",NA,1
"kegg","rn00330","Arg1","C10H15N5O10P2","rn:R00551","rn:R00554",NA,1
"kegg","rn00330","Nos1","C10H15N5O10P2","rn:R00558","rn:R00554",NA,1
"kegg","rn00330","Aldh2","C5H4O5","rn:R02549","rn:R01155",NA,1
"kegg","rn00330","Arg1","C5H4O5","rn:R00551","rn:R00563",NA,1
"kegg","rn00330","Arg1","C5H4O5","rn:R00551","rn:R00667",NA,1
"kegg","rn00330","Arg1","C5H4O5","rn:R00551","rn:R12706",NA,1
"kegg","rn00330","Nos1","C5H4O5","rn:R00558","rn:R00563",NA,1
"kegg","rn00330","Nos1","C5H4O5","rn:R00558","rn:R12706",NA,1
"kegg","rn00330","Aldh2","C4H9NO2","rn:R02549","rn:R01987","product",1
"kegg","rn00330","Aldh2","C4H9NO2","rn:R02549","rn:R01990","product",1
"kegg","rn00330","Aldh2","C4H9NO2","rn:R02549","rn:R01992","substrate",1
"kegg","rn00330","Aldh2","C4H9NO2","rn:R02549","rn:R02549","product",0
"kegg","rn00330","Aldh2","C4H9NO2","rn:R05050","rn:R01987","product",1
"kegg","rn00330","Arg1","C5H9NO3","rn:R00551","rn:R00667","product",1
"kegg","rn00330","Aldh2","H3O4P","rn:R02549","rn:R01991",NA,1
"kegg","rn00330","Aldh2","C5H6O5","rn:R02549","rn:R01155",NA,1
"kegg","rn00330","Arg1","C5H6O5","rn:R00551","rn:R00563",NA,1
"kegg","rn00330","Arg1","C5H6O5","rn:R00551","rn:R00667",NA,1
"kegg","rn00330","Arg1","C5H6O5","rn:R00551","rn:R12706",NA,1
"kegg","rn00330","Nos1","C5H6O5","rn:R00558","rn:R00563",NA,1
