"Region","Cell","Niche","n_cells_in_niche"
"A13","Cell_17954","A13_1",29
"A13","Cell_35955","A13_2",26
"A13","Cell_6403","A13_2",26
"A13","Cell_23466","A13_1",29
"A13","Cell_34399","A13_2",26
"A13","Cell_35602","A13_1",29
"A13","Cell_36409","A13_1",29
"A13","Cell_10551","A13_1",29
"A13","Cell_36343","A13_1",29
"A13","Cell_43698","A13_1",29
"A13","Cell_5718","A13_2",26
"A13","Cell_19570","A13_1",29
"A13","Cell_31237","A13_1",29
"A13","Cell_1114","A13_1",29
"A13","Cell_1327","A13_2",26
"A13","Cell_11266","A13_1",29
"A13","Cell_13153","A13_2",26
"A13","Cell_13360","A13_2",26
"A13","Cell_15289","A13_1",29
"A13","Cell_15992","A13_1",29
"A13","Cell_21589","A13_2",26
"A13","Cell_23312","A13_1",29
"A13","Cell_25741","A13_1",29
"A13","Cell_31354","A13_1",29
"A13","Cell_37186","A13_1",29
"A13","Cell_45035","A13_1",29
"A13","Cell_3240","A13_1",29
"A13","Cell_3461","A13_1",29
"A13","Cell_5362","A13_2",26
"A13","Cell_6302","A13_1",29
"A13","Cell_7160","A13_2",26
"A13","Cell_11543","A13_2",26
"A13","Cell_12279","A13_2",26
"A13","Cell_15429","A13_1",29
"A13","Cell_18545","A13_2",26
"A13","Cell_21811","A13_2",26
"A13","Cell_21953","A13_1",29
"A13","Cell_24780","A13_2",26
"A13","Cell_31755","A13_2",26
"A13","Cell_34094","A13_1",29
"A13","Cell_34294","A13_2",26
"A13","Cell_38753","A13_2",26
"A13","Cell_12688","A13_1",29
"A13","Cell_26599","A13_2",26
"A13","Cell_32463","A13_1",29
"A13","Cell_3615","A13_2",26
"A13","Cell_6873","A13_2",26
"A13","Cell_9394","A13_2",26
"A13","Cell_10451","A13_2",26
"A13","Cell_22001","A13_2",26
"A13","Cell_25253","A13_2",26
"A13","Cell_28777","A13_1",29
"A13","Cell_33799","A13_2",26
"A13","Cell_21092","A13_1",29
"A13","Cell_22474","A13_1",29
"ARH","Cell_708","ARH_1",106
"ARH","Cell_759","ARH_2",81
"ARH","Cell_821","ARH_3",136
"ARH","Cell_960","ARH_3",136
"ARH","Cell_1774","ARH_3",136
"ARH","Cell_2071","ARH_2",81
"ARH","Cell_2217","ARH_1",106
"ARH","Cell_3830","ARH_3",136
"ARH","Cell_4464","ARH_3",136
"ARH","Cell_4897","ARH_2",81
"ARH","Cell_4963","ARH_1",106
"ARH","Cell_5000","ARH_1",106
"ARH","Cell_5392","ARH_1",106
"ARH","Cell_5880","ARH_3",136
"ARH","Cell_6937","ARH_3",136
"ARH","Cell_7928","ARH_2",81
"ARH","Cell_8389","ARH_3",136
"ARH","Cell_8627","ARH_3",136
"ARH","Cell_9057","ARH_2",81
"ARH","Cell_9651","ARH_3",136
"ARH","Cell_10039","ARH_3",136
"ARH","Cell_10074","ARH_3",136
"ARH","Cell_10325","ARH_1",106
"ARH","Cell_11523","ARH_2",81
"ARH","Cell_11537","ARH_2",81
"ARH","Cell_11743","ARH_2",81
"ARH","Cell_11916","ARH_1",106
"ARH","Cell_12376","ARH_3",136
"ARH","Cell_13158","ARH_1",106
"ARH","Cell_13220","ARH_2",81
"ARH","Cell_13459","ARH_3",136
"ARH","Cell_13620","ARH_1",106
"ARH","Cell_13649","ARH_1",106
"ARH","Cell_13940","ARH_1",106
"ARH","Cell_14403","ARH_1",106
"ARH","Cell_14492","ARH_2",81
"ARH","Cell_14940","ARH_1",106
"ARH","Cell_15275","ARH_2",81
"ARH","Cell_15310","ARH_1",106
"ARH","Cell_15428","ARH_3",136
"ARH","Cell_15809","ARH_1",106
"ARH","Cell_16189","ARH_3",136
"ARH","Cell_16976","ARH_1",106
"ARH","Cell_17376","ARH_1",106
"ARH","Cell_18473","ARH_1",106
"ARH","Cell_19477","ARH_1",106
"ARH","Cell_19517","ARH_1",106
"ARH","Cell_19685","ARH_1",106
"ARH","Cell_20893","ARH_1",106
"ARH","Cell_21013","ARH_3",136
"ARH","Cell_21673","ARH_3",136
"ARH","Cell_22341","ARH_2",81
"ARH","Cell_22575","ARH_1",106
"ARH","Cell_22730","ARH_3",136
"ARH","Cell_23604","ARH_2",81
"ARH","Cell_24389","ARH_2",81
"ARH","Cell_24734","ARH_3",136
"ARH","Cell_25156","ARH_1",106
"ARH","Cell_27591","ARH_2",81
"ARH","Cell_27709","ARH_3",136
"ARH","Cell_30460","ARH_2",81
"ARH","Cell_30725","ARH_2",81
"ARH","Cell_30830","ARH_3",136
"ARH","Cell_34140","ARH_3",136
"ARH","Cell_35775","ARH_1",106
"ARH","Cell_36703","ARH_3",136
"ARH","Cell_38833","ARH_1",106
"ARH","Cell_39111","ARH_1",106
"ARH","Cell_39127","ARH_1",106
"ARH","Cell_39283","ARH_3",136
"ARH","Cell_39550","ARH_3",136
"ARH","Cell_39669","ARH_1",106
"ARH","Cell_40406","ARH_2",81
"ARH","Cell_40748","ARH_1",106
"ARH","Cell_40869","ARH_1",106
"ARH","Cell_41336","ARH_3",136
"ARH","Cell_42168","ARH_1",106
"ARH","Cell_42232","ARH_3",136
"ARH","Cell_42588","ARH_1",106
"ARH","Cell_43237","ARH_2",81
"ARH","Cell_44497","ARH_1",106
"ARH","Cell_44895","ARH_1",106
"ARH","Cell_545","ARH_3",136
"ARH","Cell_1505","ARH_3",136
"ARH","Cell_5081","ARH_3",136
"ARH","Cell_6207","ARH_2",81
"ARH","Cell_7734","ARH_3",136
"ARH","Cell_16236","ARH_1",106
"ARH","Cell_18685","ARH_2",81
"ARH","Cell_21523","ARH_3",136
"ARH","Cell_22519","ARH_3",136
"ARH","Cell_27917","ARH_2",81
"ARH","Cell_34402","ARH_3",136
"ARH","Cell_36275","ARH_3",136
"ARH","Cell_37403","ARH_1",106
"ARH","Cell_38410","ARH_3",136
"ARH","Cell_42018","ARH_2",81
"ARH","Cell_42844","ARH_3",136
"ARH","Cell_531","ARH_1",106
"ARH","Cell_1497","ARH_2",81
"ARH","Cell_3384","ARH_3",136
"ARH","Cell_3775","ARH_3",136
"ARH","Cell_4323","ARH_2",81
"ARH","Cell_5813","ARH_3",136
"ARH","Cell_6579","ARH_3",136
"ARH","Cell_6993","ARH_3",136
"ARH","Cell_7381","ARH_1",106
"ARH","Cell_8046","ARH_2",81
"ARH","Cell_12125","ARH_2",81
"ARH","Cell_12482","ARH_1",106
"ARH","Cell_12917","ARH_2",81
"ARH","Cell_14265","ARH_2",81
"ARH","Cell_14887","ARH_3",136
"ARH","Cell_15130","ARH_1",106
"ARH","Cell_18794","ARH_3",136
"ARH","Cell_20279","ARH_1",106
"ARH","Cell_23504","ARH_3",136
"ARH","Cell_24308","ARH_1",106
"ARH","Cell_25295","ARH_1",106
"ARH","Cell_25801","ARH_2",81
