"cell_type","MCP","Direction","metabolite","n_CT"
"Astrocytes","MCP1","down","C3H7NO3-H",5
"Astrocytes","MCP1","down","C5H10NO7P-H",5
"Astrocytes","MCP1","down","C5H7NO3-H",5
"Astrocytes","MCP1","down","C5H9NO3-H",5
"Astrocytes","MCP1","down","C5H9NO4-H",5
"Astrocytes","MCP1","down","C6H7O6-H",5
"Astrocytes","MCP1","down","C6H8O6-H",5
"Astrocytes","MCP1","down","C6H8O7+Cl",5
"Astrocytes","MCP1","down","C6H9NO5-H",5
"Astrocytes","MCP1","down","C8H13NO5-H",5
"Astrocytes","MCP1","up","C12H13N5O2S-H",5
"Astrocytes","MCP1","up","C18H34O2-H",5
"Astrocytes","MCP1","up","C23H46NO7P-H",5
"Astrocytes","MCP1","up","C28H36O4-H",5
"Astrocytes","MCP1","up","C28H39NO4-H",5
"Astrocytes","MCP1","up","C2H4O5S-H",5
"Astrocytes","MCP1","up","C2H8NO4P-H",5
"Astrocytes","MCP1","up","C2H8NO4P+Cl",5
"Astrocytes","MCP1","up","C30H41NO4-H",5
"Astrocytes","MCP1","up","C3H7O4P-H",5
"Astrocytes","MCP1","up","C3H7O5P-H",5
"Astrocytes","MCP1","up","C3H9O6P-H",5
"Astrocytes","MCP1","up","C5H12NO4P-H",5
"Astrocytes","MCP1","up","C5H12NO5P-H",5
"Astrocytes","MCP1","up","C5H12NO6P-H",5
"Astrocytes","MCP1","up","C5H14NO6P-H",5
"Astrocytes","MCP1","up","C6H10O6+Cl",5
"Astrocytes","MCP1","up","C6H10O8S-H",5
"Astrocytes","MCP1","up","C6H12O7-H",5
"Astrocytes","MCP1","up","C6H12O9S-H",5
"Astrocytes","MCP1","up","C6H5O4+Cl",5
"Astrocytes","MCP1","up","C8H15NO9S-H",5
"Astrocytes","MCP1","up","H3O4P+Cl",5
"Astrocytes","MCP10","down","C12H10O4S-H",5
"Astrocytes","MCP10","down","C2H7NO3S-H",5
"Astrocytes","MCP10","up","C11H16N2O8-H",5
"Astrocytes","MCP10","up","C4H7NO4-H",5
"Astrocytes","MCP10","up","C6H10O6+Cl",5
"Astrocytes","MCP10","up","C6H12O6-H",5
"Astrocytes","MCP10","up","C6H12O6+Cl",5
"Astrocytes","MCP10","up","C6H8O5-H",5
"Astrocytes","MCP10","up","CH4NO5P+Cl",5
"Astrocytes","MCP2","down","C12H10O4S-H",5
"Astrocytes","MCP2","down","C2H7NO3S-H",5
"Astrocytes","MCP2","down","C3H9O6P-H",5
"Astrocytes","MCP2","up","C10H17N3O6S-H",5
"Astrocytes","MCP2","up","C11H16N2O8-H",5
"Astrocytes","MCP2","up","C16H12NO3-H",5
"Astrocytes","MCP2","up","C2H8NO4P-H",5
"Astrocytes","MCP2","up","C2H8NO4P+Cl",5
"Astrocytes","MCP2","up","C4H9NO2-H",5
"Astrocytes","MCP2","up","C5H10N2O3-H",5
"Astrocytes","MCP2","up","C5H10N2O3+Cl",5
"Astrocytes","MCP2","up","C5H14NO6P-H",5
"Astrocytes","MCP2","up","C5H8O6-H",5
"Astrocytes","MCP2","up","C5H9O7P-H",5
"Astrocytes","MCP2","up","C6H10O6+Cl",5
"Astrocytes","MCP2","up","C6H10O7-H",5
"Astrocytes","MCP2","up","C6H12O6-H",5
"Astrocytes","MCP2","up","C6H12O6+Cl",5
"Astrocytes","MCP2","up","C6H13O9P-H",5
"Astrocytes","MCP2","up","C6H5O4+Cl",5
"Astrocytes","MCP2","up","C6H8O5-H",5
"Astrocytes","MCP2","up","C6H8O6-H",5
"Astrocytes","MCP2","up","C7H14OS2+Cl",5
"Astrocytes","MCP2","up","CH4NO5P+Cl",5
"Astrocytes","MCP2","up","H5O10P3-H",5
"Astrocytes","MCP3","down","C2H8NO4P-H",5
"Astrocytes","MCP3","down","C5H14NO6P-H",5
"Astrocytes","MCP3","down","C6H10O6+Cl",5
"Astrocytes","MCP3","down","C6H10O8S-H",5
"Astrocytes","MCP3","down","C8H15NO9S-H",5
"Astrocytes","MCP3","up","C4H4O4-H",5
"Astrocytes","MCP3","up","C4H6O4-H",5
"Astrocytes","MCP3","up","C4H6O5-H",5
"Astrocytes","MCP3","up","C4H8NO7P+Cl",5
"Astrocytes","MCP3","up","C5H8O5-H",5
"Astrocytes","MCP3","up","C5H9NO3-H",5
"Astrocytes","MCP3","up","C6H8O7-H",5
"Astrocytes","MCP3","up","C6H8O7+Cl",5
"Astrocytes","MCP3","up","C6H9NO5-H",5
"Astrocytes","MCP4","down","C10H17N3O6S-H",5
"Astrocytes","MCP4","down","C11H19NO9-H",5
"Astrocytes","MCP4","down","C12H10O4S-H",5
"Astrocytes","MCP4","down","C16H12NO3-H",5
"Astrocytes","MCP4","down","C3H7NO3-H",5
"Astrocytes","MCP4","down","C4H8O5-H",5
"Astrocytes","MCP4","down","C4H9NO2-H",5
"Astrocytes","MCP4","down","C5H10N2O3+Cl",5
"Astrocytes","MCP4","down","C5H10NO7P-H",5
"Astrocytes","MCP4","down","C5H7NO3-H",5
"Astrocytes","MCP4","down","C5H9NO4-H",5
"Astrocytes","MCP4","down","C6H7O6-H",5
"Astrocytes","MCP4","down","C6H8O6-H",5
"Astrocytes","MCP4","down","C8H13NO5-H",5
