"GeneID","ENSEMBL"
"Abca1","ENSMUST00000030010"
"Acta2","ENSMUST00000039631"
"Adamts2","ENSMUSG00000036545"
"Adarb2","ENSMUSG00000052551"
"Adcyap1r1","ENSMUSG00000029778"
"Adgrv1","ENSMUSG00000069170"
"Adra1a","ENSMUSG00000045875"
"Aif1","ENSMUSG00000024397"
"Aim2","ENSMUSG00000037860"
"Aldh1l1","ENSMUSG00000030088"
"Aldoc","ENSMUSG00000017390"
"Alkal2","ENSMUSG00000054204"
"Amelx","ENSMUSG00000031354"
"Amigo2","ENSMUSG00000048218"
"Ank","ENSMUSG00000022265"
"Anxa2","ENSMUST00000034756"
"Apela","ENSMUSG00000079042"
"Apoe","ENSMUSG00000002985"
"App","ENSMUSG00000022892"
"Aqp4","ENSMUSG00000024411"
"Arg1","ENSMUST00000020161"
"Arhgap24","ENSMUSG00000057315"
"Arpc1b","ENSMUSG00000029622"
"Arpp21","ENSMUSG00000032503"
"Ascl1","ENSMUSG00000020052"
"Aurkb","ENSMUSG00000020897"
"Axl","ENSMUSG00000002602"
"B3galt1","ENSMUSG00000034780"
"B3gat1","ENSMUSG00000045994"
"Batf3","ENSMUSG00000026630"
"Bcas1","ENSMUSG00000013523"
"Bcl11b","ENSMUSG00000048251"
"Bcl2","ENSMUSG00000057329"
"Bcl6","ENSMUSG00000022508"
"Bhlhe22","ENSMUSG00000025128"
"Bin1","ENSMUSG00000024381"
"Blnk","ENSMUSG00000061132"
"Bmp3","ENSMUSG00000029335"
"Btg2","ENSMUSG00000020423"
"C1qa","ENSMUSG00000036887"
"C1qb","ENSMUSG00000036905"
"C3","ENSMUSG00000024164"
"C9","ENSMUSG00000022149"
"Cacna2d1","ENSMUSG00000040118"
"Calb1","ENSMUSG00000028222"
"Calb2","ENSMUSG00000003657"
"Camk2b","ENSMUSG00000057897"
"Car12","ENSMUSG00000032373"
"Carhsp1","ENSMUSG00000008393"
"Cartpt","ENSMUSG00000021647"
"Casp1","ENSMUSG00000025888"
"Casp3","ENSMUSG00000031628"
"Cbln1","ENSMUSG00000031654"
"Cbln4","ENSMUSG00000067578"
"Cck","ENSMUSG00000032532"
"Ccl2","ENSMUSG00000035385"
"Ccl4","ENSMUST00000019074"
"Ccl5","ENSMUSG00000035042"
"Ccn2","ENSMUSG00000019997"
"Cd14","ENSMUSG00000051439"
"Cd33","ENSMUSG00000004609"
"Cd3e","ENSMUST00000102832"
"Cd4","ENSMUST00000024044"
"Cd68","ENSMUSG00000018774"
"Cd74","ENSMUSG00000024610"
"Cd8a","ENSMUSG00000053977"
"Cdh8","ENSMUSG00000036510"
"Celf3","ENSMUSG00000028137"
"Celf4","ENSMUSG00000024268"
"Cfap126","ENSMUSG00000026649"
"Cfb","ENSMUSG00000090231"
"Cfd","ENSMUSG00000061780"
"Chat","ENSMUSG00000021919"
"Chodl","ENSMUSG00000022860"
"Chrna2","ENSMUSG00000022041"
"Chrna4","ENSMUSG00000027577"
"Chrna5","ENSMUSG00000035594"
"Cldn5","ENSMUST00000043577"
"Clec7a","ENSMUSG00000079293"
