"ID","Design Target","Gene Name"
1,"ENSMUSG00000026600","Soat1"
2,"ENSMUSG00000070570","Slc17a7"
3,"ENSMUST00000082430","Gpx3"
4,"ENSMUSG00000019929","Dcn"
5,"ENSMUST00000015712","Lpl"
6,"ENSMUST00000028123","Gad2"
7,"ENSMUST00000061739","Pcp4"
8,"ENSMUSG00000030669","Calca"
9,"ENSMUSG00000023328","Ache"
10,"ENSMUSG00000029304","Spp1"
11,"ENSMUSG00000034160","Ogt"
12,"ENSMUST00000006046","Trh"
13,"ENSMUSG00000003746","Man1a"
14,"ENSMUST00000026406","Rdh5"
15,"ENSMUSG00000062380","Tubb3"
16,"ENSMUSG00000027071","P2rx3"
17,"ENSMUST00000032710","Slc17a6"
18,"ENSMUST00000041053","Acaa2"
19,"ENSMUSG00000026701","Prdx6"
20,"ENSMUST00000022169","Hexb"
21,"ENSMUST00000028838","Hdc"
22,"ENSMUSG00000027971","Ndst4"
23,"ENSMUSG00000096914","Galntl6"
24,"ENSMUST00000021674","Fos"
25,"ENSMUSG00000040046","Tph1"
26,"ENSMUST00000061601","Ust"
27,"ENSMUSG00000015222","Map2"
28,"ENSMUSG00000045994","B3gat1"
29,"ENSMUSG00000029361","Nos1"
30,"ENSMUST00000039631","Acta2"
31,"ENSMUSG00000031425","Plp1"
32,"ENSMUSG00000024256","Adcyap1"
33,"ENSMUSG00000025534","Gusb"
34,"ENSMUSG00000055254","Ntrk2"
35,"ENSMUST00000022100","Slc6a3"
36,"ENSMUSG00000027684","Mecom"
37,"ENSMUST00000054351","Ndnf"
38,"ENSMUSG00000005994","Tyrp1"
39,"ENSMUSG00000030088","Aldh1l1"
40,"ENSMUSG00000030247","Kcnj8"
41,"ENSMUST00000020161","Arg1"
42,"ENSMUSG00000059173","Pde1a"
43,"ENSMUSG00000028004","Npy2r"
44,"ENSMUSG00000020122","Egfr"
45,"ENSMUSG00000032373","Car12"
46,"ENSMUSG00000039728","Slc6a5"
47,"ENSMUSG00000029455","Aldh2"
48,"ENSMUSG00000058624","Gda"
49,"ENSMUST00000093369","Nefh"
50,"ENSMUSG00000004207","Psap"
51,"ENSMUSG00000026395","Ptprc"
52,"ENSMUST00000040876","Ak7"
53,"ENSMUSG00000048482","Bdnf"
54,"ENSMUST00000070125","Chat"
55,"ENSMUSG00000000214","Th"
56,"ENSMUSG00000055197","Fev"
57,"ENSMUSG00000029772","Ahcyl2"
58,"ENSMUSG00000016194","Hsd11b1"
59,"ENSMUSG00000005952","Trpv1"
60,"ENSMUST00000026839","Prps2"
61,"ENSMUST00000033049","Cox6a2"
62,"ENSMUSG00000020838","Slc6a4"
63,"ENSMUSG00000019990","Pde7b"
64,"ENSMUSG00000008540","Mgst1"
65,"ENSMUSG00000019232","Etnppl"
66,"ENSMUSG00000025270","Alas2"
67,"ENSMUST00000023826","Sncg"
68,"ENSMUSG00000025576","Rbfox3"
69,"ENSMUSG00000034780","B3galt1"
70,"ENSMUSG00000024998","Plce1"
71,"ENSMUST00000047973","Dhcr24"
72,"ENSMUST00000004480","Sst"
73,"ENSMUST00000035065","Ptgs2"
74,"ENSMUSG00000037940","Inpp4b"
75,"ENSMUSG00000070880","Gad1"
76,"ENSMUST00000001507","Cyp51"
77,"ENSMUST00000019906","Vip"
78,"ENSMUSG00000005716","Pvalb"
79,"ENSMUST00000020980","Rrm2"
80,"ENSMUSG00000050953","Gja1"
81,"ENSMUSG00000047454","Gphn"
82,"ENSMUST00000034822","Acsbg1"
83,"ENSMUST00000151698","Laptm5"
84,"ENSMUST00000041099","Neurod1"
85,"ENSMUSG00000017390","Aldoc"
86,"ENSMUST00000034121","Man2b1"
87,"ENSMUSG00000030310","Slc6a1"
88,"ENSMUSG00000021273","Fdft1"
89,"ENSMUSG00000030786","Itgam"
90,"ENSMUST00000028883","Pdyn"
91,"ENSMUSG00000035273","Hpse"
92,"ENSMUSG00000021670","Hmgcr"
93,"ENSMUSG00000037217","Syn1"
94,"ENSMUSG00000037012","Hk1"
95,"ENSMUSG00000022425","Enpp2"
96,"ENSMUST00000006991","Hcn1"
97,"ENSMUSG00000023044","Csad"
98,"ENSMUST00000031843","Npy"
99,"ENSMUSG00000020826","Nos2"
100,"ENSMUSG00000020932","Gfap"
