"Cell","region","cell_fraction"
"Cell_10","TU",1
"Cell_1105","TU",1
"Cell_1387","TU",1
"Cell_4157","TU",1
"Cell_4545","TU",1
"Cell_4697","TU",1
"Cell_6345","TU",1
"Cell_6689","TU",1
"Cell_7384","TU",0.999999999999999
"Cell_7539","TU",1
"Cell_7584","TU",1
"Cell_8160","TU",1
"Cell_10602","TU",1
"Cell_10750","TU",1
"Cell_10913","TU",1
"Cell_10930","TU",1
"Cell_14018","TU",1
"Cell_14158","TU",1
"Cell_14444","TU",1
"Cell_15506","TU",1
"Cell_15623","TU",1
"Cell_17839","TU",1
"Cell_17903","TU",1
"Cell_18922","TU",1
"Cell_20492","TU",0.958145810473847
"Cell_20704","TU",1
"Cell_24104","TU",1
"Cell_24847","TU",0.994270425185288
"Cell_27195","TU",1
"Cell_28041","TU",1
"Cell_28074","TU",0.999999999999999
"Cell_28476","TU",1
"Cell_28545","TU",1
"Cell_29569","TU",1
"Cell_29979","TU",1
"Cell_30228","TU",1
"Cell_30377","TU",1
"Cell_30454","TU",1
"Cell_30556","TU",1
"Cell_31228","TU",1
"Cell_32849","TU",1
"Cell_33347","TU",1
"Cell_33580","TU",1
"Cell_34345","TU",1
"Cell_34887","TU",1
"Cell_35419","TU",1
"Cell_36229","TU",1
"Cell_36345","TU",1
"Cell_36740","TU",1
"Cell_37807","TU",1
"Cell_37984","TU",1
"Cell_38979","TU",1
"Cell_40352","TU",1
"Cell_40478","TU",1
"Cell_41448","TU",1
"Cell_41996","TU",1
"Cell_42320","TU",1
"Cell_42322","TU",1
"Cell_42443","TU",1
"Cell_42450","TU",1
"Cell_42550","TU",1
"Cell_42600","TU",1
"Cell_42765","TU",1
"Cell_43282","TU",1
"Cell_326","TU",1
"Cell_10175","TU",1
"Cell_14826","TU",1
"Cell_17638","TU",1
"Cell_18521","TU",1
"Cell_21503","TU",1
"Cell_21521","TU",1
"Cell_21950","TU",1
"Cell_23000","TU",1
"Cell_23064","TU",1
"Cell_23585","TU",1
"Cell_24132","TU",1
"Cell_24542","TU",1
"Cell_26089","TU",1
"Cell_30984","TU",1
"Cell_31243","TU",1
"Cell_33604","TU",1
"Cell_35620","TU",1
"Cell_37634","TU",1
"Cell_37637","TU",1
"Cell_39009","TU",1
"Cell_39516","TU",1
"Cell_40701","TU",1
"Cell_40737","TU",1
"Cell_43185","TU",1
"Cell_43391","TU",1
"Cell_89","TU",1
"Cell_148","TU",1
"Cell_352","TU",1
"Cell_446","TU",1
"Cell_1509","TU",1
"Cell_4227","TU",0.999999999999999
"Cell_4379","TU",1
"Cell_4401","TU",0.998781580368192
"Cell_4554","TU",1
"Cell_4597","TU",1
"Cell_4619","TU",1
"Cell_6513","TU",1
"Cell_7359","TU",1
"Cell_7412","TU",1
"Cell_7671","TU",1
"Cell_8248","TU",1
"Cell_9293","TU",1
"Cell_9555","TU",1
"Cell_10804","TU",1
"Cell_11310","TU",1
"Cell_12146","TU",1
"Cell_13866","TU",1
"Cell_13970","TU",1
"Cell_14169","TU",0.965692170015777
"Cell_15021","TU",1
"Cell_15912","TU",1
"Cell_15965","TU",1
"Cell_17023","TU",1
"Cell_17492","TU",1
"Cell_17624","TU",1
"Cell_18635","TU",1
"Cell_19002","TU",1
"Cell_22527","TU",1
"Cell_25305","TU",1
"Cell_26664","TU",1
"Cell_29524","TU",1
"Cell_29707","TU",1
"Cell_30481","TU",1
"Cell_31180","TU",1
"Cell_32140","TU",1
"Cell_32427","TU",1
"Cell_33303","TU",1
"Cell_33597","TU",1
"Cell_33878","TU",1
"Cell_34886","TU",1
"Cell_35541","TU",1
"Cell_35839","TU",1
"Cell_38144","TU",1
"Cell_38330","TU",1
"Cell_38519","TU",1
"Cell_39182","TU",1
"Cell_39551","TU",1
"Cell_40852","TU",1
"Cell_41109","TU",1
"Cell_41229","TU",1
"Cell_41444","TU",1
"Cell_42285","TU",1
"Cell_42524","TU",1
"Cell_43395","TU",1
"Cell_43710","TU",0.999999999999999
"Cell_44838","TU",1
"Cell_4748","TU",1
"Cell_1401","TU",1
"Cell_1404","TU",0.999999999999999
"Cell_2212","TU",1
"Cell_4003","TU",1
"Cell_4689","TU",1
"Cell_4735","TU",1
"Cell_4785","TU",1
"Cell_5577","TU",1
"Cell_5620","TU",1
"Cell_7215","TU",1
"Cell_8162","TU",1
"Cell_9232","TU",1
"Cell_9775","TU",1
"Cell_10279","TU",1
"Cell_11963","TU",1
"Cell_12193","TU",1
"Cell_13838","TU",1
"Cell_13847","TU",1
"Cell_14223","TU",0.999197039726165
"Cell_17267","TU",1
"Cell_17874","TU",0.995525162765228
"Cell_18527","TU",1
"Cell_19031","TU",1
"Cell_19132","TU",1
"Cell_19901","TU",1
"Cell_21640","TU",1
"Cell_23773","TU",1
"Cell_24253","TU",1
"Cell_24461","TU",1
"Cell_25017","TU",1
"Cell_25410","TU",1
"Cell_25505","TU",1
"Cell_25779","TU",1
"Cell_26456","TU",1
"Cell_27420","TU",1
"Cell_27654","TU",1
"Cell_27710","TU",1
"Cell_27877","TU",1
"Cell_28564","TU",1
"Cell_29317","TU",1
"Cell_30005","TU",1
"Cell_31906","TU",1
"Cell_32032","TU",1
"Cell_32332","TU",1
"Cell_33345","TU",1
"Cell_34222","TU",1
"Cell_34298","TU",1
"Cell_34508","TU",1
"Cell_35121","TU",1
"Cell_35733","TU",1
"Cell_35816","TU",1
"Cell_36062","TU",1
"Cell_36521","TU",1
"Cell_37316","TU",1
"Cell_38496","TU",1
"Cell_38940","TU",1
"Cell_41431","TU",1
"Cell_42848","TU",1
"Cell_43428","TU",1
"Cell_43468","TU",1
"Cell_44633","TU",1
"Cell_4391","TU",1
"Cell_27300","TU",0.999999999999999
"Cell_35255","TU",1
"Cell_26082","TU",1
"Cell_39293","TU",1
"Cell_5917","TU",1
"Cell_9601","TU",1
"Cell_12523","TU",1
"Cell_12779","TU",1
"Cell_12799","TU",1
"Cell_12898","TU",1
"Cell_13756","TU",0.999999999999999
"Cell_15280","TU",1
"Cell_15570","TU",1
"Cell_25002","TU",1
"Cell_25052","TU",1
"Cell_34955","TU",1
"Cell_35522","TU",0.999999999999999
"Cell_37224","TU",1
"Cell_41302","TU",1
"Cell_42274","TU",1
"Cell_30","TU",1
"Cell_437","TU",1
"Cell_780","TU",1
"Cell_917","TU",1
"Cell_1217","TU",1
"Cell_1605","TU",1
"Cell_2799","TU",1
"Cell_3310","TU",1
"Cell_4173","TU",1
"Cell_4235","TU",1
"Cell_4302","TU",1
"Cell_4710","TU",1
"Cell_5402","TU",1
"Cell_6322","TU",1
"Cell_7204","TU",1
"Cell_7364","TU",1
"Cell_8288","TU",1
"Cell_9363","TU",1
"Cell_9900","TU",1
"Cell_9973","TU",1
"Cell_10192","TU",1
"Cell_11052","TU",1
"Cell_11215","TU",1
"Cell_11353","TU",1
"Cell_12012","TU",1
"Cell_12172","TU",1
"Cell_12243","TU",1
"Cell_12689","TU",1
"Cell_12853","TU",1
"Cell_13616","TU",1
"Cell_15119","TU",1
"Cell_16441","TU",1
"Cell_20650","TU",1
"Cell_21382","TU",1
"Cell_22233","TU",1
"Cell_23139","TU",1
"Cell_23839","TU",1
"Cell_23852","TU",1
"Cell_23878","TU",1
"Cell_25552","TU",1
"Cell_25975","TU",1
"Cell_26014","TU",1
"Cell_26890","TU",1
"Cell_27086","TU",1
"Cell_27751","TU",1
"Cell_27766","TU",1
"Cell_28109","TU",1
"Cell_28337","TU",1
"Cell_28636","TU",1
"Cell_28792","TU",1
"Cell_29048","TU",1
"Cell_29489","TU",1
"Cell_29656","TU",1
"Cell_30660","TU",1
"Cell_30751","TU",1
"Cell_30862","TU",1
"Cell_30877","TU",1
"Cell_31777","TU",1
"Cell_31934","TU",1
"Cell_32117","TU",1
"Cell_32895","TU",1
"Cell_33873","TU",1
"Cell_34749","TU",1
"Cell_36584","TU",1
"Cell_37769","TU",1
"Cell_37864","TU",1
"Cell_39240","TU",1
"Cell_39850","TU",1
"Cell_40077","TU",1
"Cell_40415","TU",1
"Cell_40657","TU",1
"Cell_40723","TU",1
"Cell_41165","TU",1
"Cell_42284","TU",0.999403888916769
"Cell_42845","TU",1
"Cell_43143","TU",1
"Cell_44692","TU",1
"Cell_1489","TU",1
"Cell_2327","TU",0.999999999999999
"Cell_2339","TU",1
"Cell_2670","TU",1
"Cell_4667","TU",1
"Cell_5676","TU",1
"Cell_6170","TU",1
"Cell_6757","TU",1
"Cell_6790","TU",1
"Cell_7429","TU",1
"Cell_8191","TU",1
"Cell_8393","TU",1
"Cell_8470","TU",1
"Cell_9156","TU",1
"Cell_9238","TU",1
"Cell_9588","TU",1
"Cell_9859","TU",1
"Cell_12644","TU",1
"Cell_13094","TU",1
"Cell_14263","TU",1
"Cell_14288","TU",1
"Cell_15223","TU",1
"Cell_15328","TU",1
"Cell_15768","TU",1
"Cell_16141","TU",1
"Cell_17812","TU",1
"Cell_18459","TU",1
"Cell_18722","TU",1
"Cell_19505","TU",1
"Cell_19713","TU",1
"Cell_20481","TU",1
"Cell_21216","TU",1
"Cell_23583","TU",1
"Cell_24094","TU",1
"Cell_24172","TU",1
"Cell_24336","TU",1
"Cell_25001","TU",1
"Cell_25431","TU",1
"Cell_25886","TU",1
"Cell_26151","TU",1
"Cell_27810","TU",1
"Cell_29573","TU",1
"Cell_30269","TU",1
"Cell_31712","TU",0.999757092008553
"Cell_32320","TU",1
"Cell_32508","TU",1
"Cell_32982","TU",1
"Cell_34172","TU",1
"Cell_34566","TU",1
"Cell_34647","TU",1
"Cell_34936","TU",0.999999999999999
"Cell_35418","TU",1
"Cell_35783","TU",1
"Cell_36536","TU",1
"Cell_37105","TU",1
"Cell_37581","TU",1
"Cell_37962","TU",1
"Cell_38316","TU",1
"Cell_38395","TU",1
"Cell_40333","TU",1
"Cell_40894","TU",1
"Cell_41056","TU",1
"Cell_41474","TU",1
"Cell_42681","TU",1
"Cell_43117","TU",1
"Cell_44641","TU",1
"Cell_44740","TU",1
"Cell_16564","TU",1
"Cell_20403","TU",1
"Cell_19184","TU",1
"Cell_24695","TU",0.976214256903328
"Cell_34717","TU",1
"Cell_44988","TU",0.999999999999999
"Cell_20858","TU",1
"Cell_41289","TU",1
"Cell_1747","TU",1
"Cell_9136","TU",1
"Cell_24238","TU",1
"Cell_26742","TU",1
"Cell_31689","TU",1
"Cell_32048","TU",1
"Cell_34703","TU",1
