"database","sumFormula","adduct","ion","mz","msmScore","rhoSpatial","rhoSpectral","rhoChaos","fdrLevel","off_sample_label","off_sample_prob"
"CoreMetabolome","C15H24O","-H","C15H24O-H-",219.175438953,0.8997699,0.903777772720855,0.995842881435133,0.999721378136829,0.05,"off",0.999795615673065
"CoreMetabolome","C9H18O2","-H","C9H18O2-H-",157.123403381,0.87911105,0.882077532435012,0.996966515347923,0.999669406710307,0.05,"off",0.99895715713501
"CoreMetabolome","C3H6O3","+Cl","C3H6O3+Cl-",125.001095349,0.86763275,0.888971975950778,0.976922810145967,0.999050904555982,0.05,"off",0.999305129051208
"CoreMetabolome","C10H20O2","-H","C10H20O2-H-",171.139053445,0.86176085,0.864911519275888,0.996699701630536,0.999656438414842,0.05,"off",0.999360144138336
"CoreMetabolome","H3O4P","+Cl","H3O4P+Cl-",132.946296873,0.86032015,0.864765393707047,0.995107705235294,0.999750696082481,0.05,"on",0.104039296507835
"CoreMetabolome","C8H16O2","-H","C8H16O2-H-",143.107753317,0.85773826,0.860664924145202,0.996929110476422,0.999669406710307,0.05,"off",0.999491572380066
"CoreMetabolome","C6H12O2","-H","C6H12O2-H-",115.076453189,0.8456889,0.848130593200518,0.997440249484856,0.999680017133869,0.05,"off",0.999306917190552
"CoreMetabolome","C5H8O3","-H","C5H8O3-H-",115.040067681,0.8070949,0.809551736350903,0.997308802679152,0.999655454952725,0.05,"off",0.999235510826111
"CoreMetabolome","C10H7NO2","-H","C10H7NO2-H-",172.040402029,0.7718117,0.781960625990998,0.987448500273633,0.999567314398863,0.05,"off",0.999997496604919
"CoreMetabolome","C10H18O5","+Cl","C10H18O5+Cl-",253.084824973,0.7676032,0.78842367705095,0.974815444566254,0.99874528575573,0.05,"off",0.998956203460693
"CoreMetabolome","C5H10O2","-H","C5H10O2-H-",101.060803125,0.76237106,0.763632805648595,0.998672869783657,0.9996744171881,0.05,"off",0.999275624752045
"CoreMetabolome","C7H14O2","-H","C7H14O2-H-",129.092103253,0.7550294,0.758235536233901,0.996155704253095,0.999614389699244,0.05,"off",0.999620079994202
"CoreMetabolome","C6H9NO5","-H","C6H9NO5-H-",174.040795953,0.7247512,0.729615355551807,0.993866175544258,0.999463730405534,0.05,"on",0.000886350695509464
"CoreMetabolome","C6H10O3","-H","C6H10O3-H-",129.055717745,0.7001883,0.703664264043816,0.995426385637864,0.999632073738514,0.05,"off",0.999706447124481
"CoreMetabolome","C6H12O6","+Cl","C6H12O6+Cl-",215.032789401,0.6986517,0.718960319159258,0.971993205703949,0.999752618405385,0.05,"on",0.00159401388373226
"CoreMetabolome","C12H24O2","-H","C12H24O2-H-",199.170353573,0.69646776,0.701654769740364,0.993127082219719,0.999476748926923,0.05,"off",0.999497294425964
"CoreMetabolome","C12H22O5","+Cl","C12H22O5+Cl-",281.116125101,0.67013973,0.699537437502346,0.959306994414891,0.9986120388926,0.05,"off",0.998471796512604
"CoreMetabolome","C2H7NO3S","-H","C2H7NO3S-H-",124.007387819,0.64502424,0.650790719494841,0.991544025579326,0.999591757790104,0.05,"on",0.0858937874436378
"CoreMetabolome","C12H22O11","+Cl","C12H22O11+Cl-",377.085612821,0.64057976,0.694870322308435,0.922992299687488,0.99878355704698,0.05,"on",0.129005461931229
"CoreMetabolome","C16H32O2","-H","C16H32O2-H-",255.232953829,0.6296544,0.638182209749593,0.98704170401366,0.999590315144467,0.05,"off",0.999937653541565
"CoreMetabolome","C14H28O2","-H","C14H28O2-H-",227.201653701,0.62819177,0.635599226785796,0.988924593076418,0.999414602987421,0.05,"off",0.999903917312622
"CoreMetabolome","C5H9NO4","-H","C5H9NO4-H-",146.045881333,0.5841167,0.58866841317477,0.992927256752077,0.999335804094404,0.05,"on",0.000565558089874685
"CoreMetabolome","C11H22O2","-H","C11H22O2-H-",185.154703509,0.56989855,0.579006252956352,0.984842520065628,0.999418774297563,0.05,"off",0.999922275543213
"CoreMetabolome","C12H14N2O2","+Cl","C12H14N2O2+Cl-",253.074928985,0.55850685,0.587592464966249,0.952157378460124,0.998259680623275,0.05,"off",0.999998569488525
"CoreMetabolome","C10H18O4","+Cl","C10H18O4+Cl-",237.089910353,0.5449676,0.567821249275202,0.961409272933409,0.998276234304869,0.05,"off",0.999774158000946
"CoreMetabolome","C8H14O3","-H","C8H14O3-H-",157.087017873,0.539914,0.547335976348795,0.987012911088347,0.999419374043957,0.05,"off",0.999915838241577
"CoreMetabolome","C8H14O4","+Cl","C8H14O4+Cl-",209.058610225,0.49851325,0.528532592063703,0.944854193694457,0.998251866345224,0.05,"off",0.999943852424622
"CoreMetabolome","C15H30O2","-H","C15H30O2-H-",241.217303765,0.48349553,0.49616164223475,0.975181764378391,0.999271969188925,0.05,"off",0.999964118003845
"CoreMetabolome","C3H8O3","+Cl","C3H8O3+Cl-",127.016745413,0.4797871,0.5139779490665,0.935631289831131,0.997698568881251,0.05,"off",0.999998092651367
"CoreMetabolome","C7H12O4","+Cl","C7H12O4+Cl-",195.042960161,0.46307975,0.490852960874431,0.945018950071939,0.998306392189371,0.05,"off",0.999910116195679
"CoreMetabolome","C7H12O3","-H","C7H12O3-H-",143.071367809,0.45178995,0.458810427714996,0.985247666833634,0.999442636673387,0.05,"off",0.999936699867249
"CoreMetabolome","C9H16O3","-H","C9H16O3-H-",171.102667937,0.43950853,0.44794144461608,0.981882054897138,0.999278919627597,0.05,"off",0.999961853027344
"CoreMetabolome","C6H10O6","+Cl","C6H10O6+Cl-",213.017139337,0.3896529,0.417736487267269,0.933031682429417,0.999721668910587,0.05,"on",6.69303190079518e-05
"CoreMetabolome","C2H7O4P","-H","C2H7O4P-H-",125.000919269,0.379871,0.382443259632969,0.994237062747145,0.999031556485699,0.05,"off",0.999419093132019
"CoreMetabolome","C13H26O2","-H","C13H26O2-H-",213.186003637,0.36699405,0.378095770814463,0.971430702434185,0.999183806044424,0.05,"off",0.999984860420227
"CoreMetabolome","C16H34O9","+Cl","C16H34O9+Cl-",405.189683965,0.3504943,0.389876793682861,0.900956123316606,0.997814791612927,0.05,"off",0.999825775623322
"CoreMetabolome","C5H5N5","+Cl","C5H5N5+Cl-",170.023896457,0.3249033,0.353189091705915,0.924292696650597,0.995261753043371,0.05,"on",0.000151640531839803
"CoreMetabolome","C6H8O7","+Cl","C6H8O7+Cl-",226.996403893,0.3154741,0.343023692260728,0.920541902067215,0.999070263320869,0.05,"on",2.17727847484639e-05
"CoreMetabolome","C10H7NO3","-H","C10H7NO3-H-",188.035316649,0.3147245,0.32322499130008,0.975070617568342,0.998595369075994,0.05,"off",0.999985933303833
"CoreMetabolome","C18H36O2","+Cl","C18H36O2+Cl-",319.240931689,0.31471092,0.364736836017046,0.864362182005419,0.998243365142667,0.05,"off",0.82671582698822
"CoreMetabolome","C5H10N2O3","-H","C5H10N2O3-H-",145.061865745,0.30868888,0.312651043043041,0.987931827529743,0.999387960437181,0.05,"on",0.000978210242465138
"CoreMetabolome","C10H12O2","-H","C10H12O2-H-",163.076453189,0.29449728,0.323389637653709,0.911495139741501,0.999081326050555,0.05,"off",0.999993801116943
"CoreMetabolome","C11H14N4O5","+Cl","C11H14N4O5+Cl-",317.065820845,0.264541,0.295647142322094,0.895729721214465,0.998946716232962,0.1,"off",0.91312438249588
"CoreMetabolome","C18H22O5S","+Cl","C18H22O5S+Cl-",385.088196271,0.260149,0.295662717712233,0.88665421272628,0.992364723467863,0.1,"off",0.999927759170532
"CoreMetabolome","C12H16N2O4","-H","C12H16N2O4-H-",251.103730557,0.25844648,0.267765115507426,0.967198288319195,0.997932396329423,0.05,"off",0.999983906745911
"CoreMetabolome","C23H46NO7P","-H","C23H46NO7P-H-",478.293913377,0.2575649,0.277002524241331,0.933355554078089,0.996221366946618,0.05,"on",2.55186714639422e-05
"CoreMetabolome","C4H6O3","-H","C4H6O3-H-",101.024417617,0.2544408,0.257303976373183,0.989527246306208,0.999338255384476,0.05,"off",0.999951958656311
"CoreMetabolome","C6H5NO3","-H","C6H5NO3-H-",138.019666585,0.24974471,0.254057556107297,0.983576664344744,0.999438263638055,0.05,"off",0.999926328659058
"CoreMetabolome","C11H9NO2","-H","C11H9NO2-H-",186.056052093,0.24000992,0.247458660661227,0.971019168356777,0.99884645718624,0.05,"off",0.999994874000549
"CoreMetabolome","C10H9NO3","-H","C10H9NO3-H-",190.050966713,0.23890814,0.245841810113504,0.973226770009186,0.998530118255728,0.05,"off",0.99999475479126
"CoreMetabolome","C6H6N2O2","-H","C6H6N2O2-H-",137.035650997,0.23588803,0.243778998839243,0.968394357003482,0.999211385375954,0.05,"off",0.999985098838806
"CoreMetabolome","C10H17NO5","+Cl","C10H17NO5+Cl-",266.080073941,0.2340403,0.299409989081211,0.788663085317849,0.991135108164938,0.1,"off",0.99999725818634
"CoreMetabolome","C4H7NO4","-H","C4H7NO4-H-",132.030231269,0.22534132,0.228225970388193,0.987829526290391,0.999525221584167,0.05,"on",0.000184052012627944
"CoreMetabolome","C12H16N2O3","+Cl","C12H16N2O3+Cl-",271.085493669,0.2219231,0.247141817002185,0.901256664935065,0.996340461565683,0.1,"off",0.999999761581421
"CoreMetabolome","C13H10N2","-H","C13H10N2-H-",193.077121885,0.21750125,0.227174912696871,0.95947836280005,0.997852177279537,0.05,"off",0.998639523983002
"CoreMetabolome","C11H20O4","+Cl","C11H20O4+Cl-",251.105560417,0.20019813,0.222021001366148,0.906996492358439,0.994169325675388,0.1,"off",0.999915480613708
"CoreMetabolome","C5H13O14P3","+Cl","C5H13O14P3+Cl-",424.921217393,0.19479536,0.2016547022611,0.97738559259159,0.988335328146818,0.1,"off",0.999999642372131
"CoreMetabolome","C18H36O2","-H","C18H36O2-H-",283.264253957,0.18771714,0.197565635210557,0.950689690057051,0.999433147127327,0.05,"off",0.999730408191681
