"MCP","Metabotype","n_common_cells","n_cells_metabotype","prop_common"
"MCP1","Met.1",2725,5053,0.539283593904611
"MCP1","Met.10",280,456,0.614035087719298
"MCP1","Met.11",98,141,0.695035460992908
"MCP1","Met.2",3128,5432,0.575846833578792
"MCP1","Met.3",2987,5121,0.583284514743214
"MCP1","Met.4",1626,2416,0.673013245033113
"MCP1","Met.5",1381,1503,0.918829008649368
"MCP1","Met.6",1351,2394,0.564327485380117
"MCP1","Met.7",411,412,0.997572815533981
"MCP1","Met.8",411,728,0.56456043956044
"MCP1","Met.9",261,362,0.720994475138122
"MCP10","Met.1",2692,5053,0.532752820106867
"MCP10","Met.10",234,456,0.513157894736842
"MCP10","Met.11",65,141,0.460992907801418
"MCP10","Met.2",2369,5432,0.436119293078056
"MCP10","Met.3",2348,5121,0.45850419839875
"MCP10","Met.4",1012,2416,0.41887417218543
"MCP10","Met.5",785,1503,0.52228875582169
"MCP10","Met.6",1234,2394,0.515455304928989
"MCP10","Met.7",230,412,0.558252427184466
"MCP10","Met.8",322,728,0.442307692307692
"MCP10","Met.9",154,362,0.425414364640884
"MCP2","Met.1",4452,5053,0.881060755986543
"MCP2","Met.10",222,456,0.486842105263158
"MCP2","Met.11",96,141,0.680851063829787
"MCP2","Met.2",2278,5432,0.419366715758468
"MCP2","Met.3",3162,5121,0.617457527826596
"MCP2","Met.4",1238,2416,0.512417218543046
"MCP2","Met.5",803,1503,0.534264803725882
"MCP2","Met.6",887,2394,0.370509607351713
"MCP2","Met.7",264,412,0.640776699029126
"MCP2","Met.8",363,728,0.498626373626374
"MCP2","Met.9",162,362,0.447513812154696
"MCP3","Met.1",2371,5053,0.469226202256085
"MCP3","Met.10",228,456,0.5
"MCP3","Met.11",77,141,0.546099290780142
"MCP3","Met.2",2557,5432,0.470729013254786
"MCP3","Met.3",2958,5121,0.577621558289397
"MCP3","Met.4",1193,2416,0.493791390728477
"MCP3","Met.5",1158,1503,0.770459081836327
"MCP3","Met.6",1179,2394,0.492481203007519
"MCP3","Met.7",384,412,0.932038834951456
"MCP3","Met.8",339,728,0.465659340659341
"MCP3","Met.9",225,362,0.621546961325967
"MCP4","Met.1",3277,5053,0.6485256283396
"MCP4","Met.10",254,456,0.557017543859649
"MCP4","Met.11",114,141,0.808510638297872
"MCP4","Met.2",3062,5432,0.563696612665685
"MCP4","Met.3",2820,5121,0.550673696543644
"MCP4","Met.4",1537,2416,0.636175496688742
"MCP4","Met.5",1187,1503,0.789753825681969
"MCP4","Met.6",1666,2394,0.695906432748538
"MCP4","Met.7",375,412,0.910194174757282
"MCP4","Met.8",434,728,0.596153846153846
"MCP4","Met.9",233,362,0.643646408839779
"MCP5","Met.1",2567,5053,0.508015040569958
"MCP5","Met.10",235,456,0.515350877192982
"MCP5","Met.11",77,141,0.546099290780142
"MCP5","Met.2",3003,5432,0.552835051546392
"MCP5","Met.3",2153,5121,0.420425698105839
"MCP5","Met.4",1404,2416,0.58112582781457
"MCP5","Met.5",1278,1503,0.850299401197605
"MCP5","Met.6",902,2394,0.376775271512114
"MCP5","Met.7",402,412,0.975728155339806
"MCP5","Met.8",378,728,0.519230769230769
"MCP5","Met.9",251,362,0.693370165745856
"MCP6","Met.1",3255,5053,0.644171779141104
"MCP6","Met.10",205,456,0.449561403508772
"MCP6","Met.11",106,141,0.75177304964539
"MCP6","Met.2",2019,5432,0.371686303387334
"MCP6","Met.3",2733,5121,0.533684827182191
"MCP6","Met.4",889,2416,0.36796357615894
"MCP6","Met.5",824,1503,0.548236859614105
"MCP6","Met.6",1158,2394,0.483709273182957
"MCP6","Met.7",353,412,0.856796116504854
"MCP6","Met.8",283,728,0.388736263736264
"MCP6","Met.9",188,362,0.519337016574586
"MCP7","Met.1",2995,5053,0.592717197704334
"MCP7","Met.10",248,456,0.543859649122807
"MCP7","Met.11",102,141,0.723404255319149
"MCP7","Met.2",2909,5432,0.535530191458026
"MCP7","Met.3",2438,5121,0.476078890841633
"MCP7","Met.4",1278,2416,0.528973509933775
"MCP7","Met.5",1059,1503,0.704590818363273
"MCP7","Met.6",1253,2394,0.523391812865497
"MCP7","Met.7",268,412,0.650485436893204
"MCP7","Met.8",351,728,0.482142857142857
"MCP7","Met.9",194,362,0.535911602209945
"MCP8","Met.1",2478,5053,0.490401741539679
"MCP8","Met.10",170,456,0.37280701754386
"MCP8","Met.11",76,141,0.539007092198582
"MCP8","Met.2",2235,5432,0.411450662739323
"MCP8","Met.3",2272,5121,0.443663347002539
"MCP8","Met.4",1023,2416,0.423427152317881
"MCP8","Met.5",747,1503,0.497005988023952
"MCP8","Met.6",1484,2394,0.619883040935672
"MCP8","Met.7",263,412,0.638349514563107
"MCP8","Met.8",307,728,0.421703296703297
"MCP8","Met.9",292,362,0.806629834254144
"MCP9","Met.1",1939,5053,0.383732436176529
"MCP9","Met.10",178,456,0.390350877192982
"MCP9","Met.11",90,141,0.638297872340426
"MCP9","Met.2",2239,5432,0.412187039764359
"MCP9","Met.3",2097,5121,0.409490333919156
"MCP9","Met.4",903,2416,0.373758278145695
"MCP9","Met.5",599,1503,0.39853626081171
"MCP9","Met.6",1186,2394,0.495405179615706
"MCP9","Met.7",350,412,0.849514563106796
"MCP9","Met.8",316,728,0.434065934065934
"MCP9","Met.9",201,362,0.55524861878453
