"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diff_pct","Cell_type_fine","Cell_type_coarse"
0,2.83800315507099,0.994,0.27,0,"0","Slc17a7",0.724,"Excitatory_VGLUT1","Excitatory"
0,1.88469750851634,0.684,0.244,0,"0","Pde1a",0.44,"Excitatory_VGLUT1","Excitatory"
0,1.57239916285468,0.868,0.315,0,"0","Gda",0.553,"Excitatory_VGLUT1","Excitatory"
0,1.45165090884347,0.94,0.536,0,"0","Rbfox3",0.404,"Excitatory_VGLUT1","Excitatory"
0,1.16932318190494,0.95,0.652,0,"0","Syn1",0.298,"Excitatory_VGLUT1","Excitatory"
0,1.14629112343895,0.423,0.187,0,"0","Bdnf",0.236,"Excitatory_VGLUT1","Excitatory"
0,1.04040830750411,0.927,0.641,0,"0","Hk1",0.286,"Excitatory_VGLUT1","Excitatory"
0,0.959838274187441,0.761,0.508,0,"0","Hmgcr",0.253,"Excitatory_VGLUT1","Excitatory"
0,0.661823658376032,0.711,0.467,0,"0","Dhcr24",0.244,"Excitatory_VGLUT1","Excitatory"
0,0.604304849137435,0.995,0.858,0,"0","Map2",0.137,"Excitatory_VGLUT1","Excitatory"
0,0.480984572443962,0.984,0.743,0,"0","Tubb3",0.241,"Excitatory_VGLUT1","Excitatory"
0,0.44737488889974,1,0.977,0,"0","Psap",0.023,"Excitatory_VGLUT1","Excitatory"
0,-2.5982372498641,0.404,0.582,0,"0","Aldoc",-0.178,"Excitatory_VGLUT1","Excitatory"
0,-4.13902723139094,0.135,0.591,0,"0","Slc6a1",-0.456,"Excitatory_VGLUT1","Excitatory"
0,-4.33278838001749,0.051,0.248,0,"0","Plp1",-0.197,"Excitatory_VGLUT1","Excitatory"
0,-4.70389002332927,0.052,0.365,0,"0","Gad1",-0.313,"Excitatory_VGLUT1","Excitatory"
0,-5.89102601414472,0.021,0.314,0,"0","Gad2",-0.293,"Excitatory_VGLUT1","Excitatory"
9.26196670364173e-233,-6.24284549002098,0.004,0.107,7.78005203105905e-231,"0","Gfap",-0.103,"Excitatory_VGLUT1","Excitatory"
1.35507207987709e-209,-4.31713160949975,0.013,0.114,1.13826054709676e-207,"0","Acsbg1",-0.101,"Excitatory_VGLUT1","Excitatory"
1.92987792116404e-197,1.05057115192074,0.463,0.328,1.6210974537778e-195,"0","B3gat1",0.135,"Excitatory_VGLUT1","Excitatory"
2.06827974639198e-192,-2.85043710092793,0.044,0.156,1.73735498696926e-190,"0","Npy2r",-0.112,"Excitatory_VGLUT1","Excitatory"
4.88632369226172e-189,-2.67152353559554,0.096,0.217,4.10451190149984e-187,"0","Slc17a6",-0.121,"Excitatory_VGLUT1","Excitatory"
2.17038862672384e-145,0.36755575035953,0.796,0.66,1.82312644644803e-143,"0","Gphn",0.136,"Excitatory_VGLUT1","Excitatory"
1.04125906185712e-119,1.43368389320665,0.1,0.037,8.74657611959977e-118,"0","Ndst4",0.063,"Excitatory_VGLUT1","Excitatory"
4.17518447937205e-117,0.502833938499415,0.108,0.041,3.50715496267252e-115,"0","Neurod1",0.067,"Excitatory_VGLUT1","Excitatory"
4.91495679613918e-110,-1.27232179233409,0.181,0.285,4.12856370875691e-108,"0","Inpp4b",-0.104,"Excitatory_VGLUT1","Excitatory"
4.6672459445818e-82,-1.79014011154322,0.043,0.105,3.92048659344871e-80,"0","Plce1",-0.062,"Excitatory_VGLUT1","Excitatory"
1.2890063161784e-78,-1.7307121298836,0.299,0.364,1.08276530558986e-76,"0","Prdx6",-0.065,"Excitatory_VGLUT1","Excitatory"
