"ion","moleculeNames","mol_name_one_to_one","DB_name","adduct"
"H3O4P+Cl","[""Phosphate""]","Phosphate+Cl","CoreMetabolome","+Cl"
"C6H9NO5-H","[""N-Acetyl-L-aspartic acid""]","N-Acetyl-L-aspartic acid-H","CoreMetabolome","-H"
"C6H12O6+Cl","[""Beta-D-Glucose"", ""D-Fructose"", ""Allose"", ""D-Glucose"", ""myo-Inositol"", ""D-Galactose"", ""D-Mannose"", ""Levoinositol"", ""L-Gulose"", ""Beta-D-Galactose"", ""L-Galactose"", ""D-Tagatose"", ""D-chiro-inositol"", ""Alpha-D-Glucose"", ""L-Sorbose"", ""scyllo-Inositol""]","D-Glucose*+Cl","CoreMetabolome","+Cl"
"C2H7NO3S-H","[""Taurine""]","Taurine-H","CoreMetabolome","-H"
"C5H9NO4-H","[""D-Glutamic acid"", ""O-Acetylserine"", ""N-Acetylserine"", ""L-Glutamic acid"", ""N-Methyl-D-aspartic acid""]","Glutamic acid*-H","CoreMetabolome","-H"
"C6H10O6+Cl","[""2-Keto-3-deoxy-D-gluconic acid"", ""Gluconolactone"", ""L-Gulonolactone""]","Gluconolactone*+Cl","CoreMetabolome","+Cl"
"C5H5N5+Cl","[""Adenine""]","Adenine+Cl","CoreMetabolome","+Cl"
"C6H8O7+Cl","[""Isocitric acid"", ""Citric acid"", ""Diketogulonic acid""]","Citric acid+Cl","CoreMetabolome","+Cl"
"C5H10N2O3-H","[""Alanylglycine"", ""L-Glutamine"", ""Ureidoisobutyric acid"", ""D-Glutamine""]","Glutamine*-H","CoreMetabolome","-H"
"C23H46NO7P-H","[""LysoPE(0:0/18:1(11Z))"", ""LysoPE(0:0/18:1(9Z))"", ""LysoPE(18:1(11Z)/0:0)"", ""LysoPE(18:1(9Z)/0:0)""]","LysoPE(18:1)-H","CoreMetabolome","-H"
"C4H7NO4-H","[""Iminodiacetic acid"", ""L-Aspartic acid"", ""D-Aspartic acid"", ""1-deoxy-1-(N6-lysino)-D-fructose""]","Aspartic acid*-H","CoreMetabolome","-H"
"C5H5N5O+Cl","[""Guanine"", ""2-Hydroxyadenine""]","Guanine+Cl","CoreMetabolome","+Cl"
"C4H8NO7P+Cl","[""L-Aspartyl-4-phosphate""]","L-Aspartyl-4-phosphate+Cl","CoreMetabolome","+Cl"
"C5H5N5-H","[""Adenine""]","Adenine-H","CoreMetabolome","-H"
"C2H8NO4P+Cl","[""O-Phosphoethanolamine""]","O-Phosphoethanolamine+Cl","CoreMetabolome","+Cl"
"C5H10N2O3+Cl","[""Alanylglycine"", ""L-Glutamine"", ""Ureidoisobutyric acid"", ""D-Glutamine""]","Glutamine*+Cl","CoreMetabolome","+Cl"
"C2H8NO4P-H","[""O-Phosphoethanolamine""]","O-Phosphoethanolamine-H","CoreMetabolome","-H"
"C4H6O4-H","[""Methylmalonic acid"", ""Succinic acid""]","Succinic acid*-H","CoreMetabolome","-H"
"C5H9NO3-H","[""N-Acetyl-beta-alanine"", ""N-Acetyl-L-alanine"", ""cis-4-Hydroxy-D-proline"", ""L-Glutamic gamma-semialdehyde"", ""5-Aminolevulinic acid"", ""Propionylglycine"", ""4-Hydroxyproline""]","N-Acetyl-beta-alanine*-H","CoreMetabolome","-H"
"C4H9N3O2+Cl","[""Creatine"", ""Beta-Guanidinopropionic acid""]","Creatine+Cl","CoreMetabolome","+Cl"
"H4O7P2-H","[""Pyrophosphate""]","Pyrophosphate-H","CoreMetabolome","-H"
"C11H16N2O8-H","[""N-Acetylaspartylglutamic acid""]","N-Acetylaspartylglutamic acid-H","CoreMetabolome","-H"
"C6H8O5-H","[""Oxoadipic acid"", ""3-Oxoadipic acid""]","Oxoadipic acid-H","CoreMetabolome","-H"
"C3H8NO6P+Cl","[""Phosphoserine""]","Phosphoserine+Cl","CoreMetabolome","+Cl"
"C5H7NO3-H","[""Pyroglutamic acid"", ""Pyrroline hydroxycarboxylic acid""]","Pyroglutamic acid*-H","CoreMetabolome","-H"
"C5H14NO6P-H","[""sn-glycero-3-Phosphoethanolamine"", ""Glycerylphosphorylethanolamine""]","Glycerylphosphorylethanolamine-H","CoreMetabolome","-H"
"C5H5N5O-H","[""Guanine"", ""2-Hydroxyadenine""]","Guanine-H","CoreMetabolome","-H"
"C8H15NO9S-H","[""N-Acetylglucosamine 6-sulfate"", ""N-Acetylgalactosamine 4-sulphate""]","N-Acetylgalactosamine 4-sulphate-H","CoreMetabolome","-H"
"C4H6O5-H","[""Malic acid""]","Malic acid-H","CoreMetabolome","-H"
