"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.08717675837432,0.9,0.208,0,"Met.1","C11H16N2O8-H"
0,2.25224728515448,0.799,0.282,0,"Met.1","C6H12O6-H"
0,1.34930581995369,0.663,0.338,0,"Met.1","C6H10N2O4-H"
0,1.58039692052405,0.388,0.143,0,"Met.1","C6H10O7-H"
0,1.10712427943752,0.96,0.766,0,"Met.1","C5H10N2O3+Cl"
1.03444694112052e-232,1.02790237365916,0.407,0.217,9.82724594064494e-231,"Met.1","C5H8O6-H"
5.19528646125379e-160,1.02581976048844,0.291,0.152,4.9355221381911e-158,"Met.1","C4H8N2O3-H"
1.07524450639254e-91,-1.68337059200977,0.247,0.358,1.02148228107291e-89,"Met.1","C8H15NO9S-H"
4.14379226840131e-86,-1.19490162812391,0.601,0.673,3.93660265498124e-84,"Met.1","C6H12O9S-H"
1.08492606591136e-32,-1.27875347951824,0.46,0.487,1.03067976261579e-30,"Met.1","C23H46NO7P-H"
0,3.60981517787076,0.991,0.311,0,"Met.7","C8H15NO9S-H"
0,3.33106305988817,0.998,0.462,0,"Met.7","C23H46NO7P-H"
0,3.48312025027718,0.578,0.108,0,"Met.7","C21H41O7P-H"
0,-1.9512962676919,0.53,0.938,0,"Met.7","C6H8O6-H"
0,-1.96689981751362,0.567,0.963,0,"Met.7","C6H8O7+Cl"
0,-1.65039327086285,0.598,0.961,0,"Met.7","C10H17N3O6S-H"
0,3.20047670459255,1,0.646,0,"Met.7","C6H12O9S-H"
0,-1.88130138086496,0.72,0.995,0,"Met.7","C4H6O5-H"
0,-1.53679255149019,0.875,0.999,0,"Met.7","C5H7NO3-H"
0,-1.4369241740473,0.889,0.999,0,"Met.7","C5H9NO3-H"
0,-1.63159865032384,0.994,1,0,"Met.7","C4H7NO4-H"
0,1.23302571788777,1,0.999,0,"Met.7","C6H10O6+Cl"
0,1.28157295181404,1,0.999,0,"Met.7","C5H14NO6P-H"
0,-1.0536912466407,1,1,0,"Met.7","C6H9NO5-H"
0,-1.26694097424028,1,1,0,"Met.7","C5H9NO4-H"
6.33825727818474e-296,-2.16045836651676,0.319,0.852,6.0213444142755e-294,"Met.7","C6H8O7-H"
2.21452859750657e-271,1.05336358888382,0.993,0.946,2.10380216763124e-269,"Met.7","C2H8NO4P+Cl"
2.38701714452037e-268,-2.71166824456305,0.15,0.708,2.26766628729435e-266,"Met.7","C4H9NO2-H"
1.92436876600418e-247,2.1542480599175,0.761,0.37,1.82815032770397e-245,"Met.7","C5H12NO6P-H"
4.12679688709641e-246,-1.9517645487973,0.346,0.822,3.92045704274159e-244,"Met.7","C5H10N2O3+Cl"
2.50043282174844e-244,2.58397559943133,0.504,0.159,2.37541118066102e-242,"Met.7","C6H10O6-H"
4.75758043746481e-203,-1.5993232361514,0.375,0.823,4.51970141559157e-201,"Met.7","C5H8O5-H"
1.5361567648573e-178,-1.26227940316946,0.51,0.88,1.45934892661443e-176,"Met.7","C4H4O4-H"
9.47719433135225e-178,-1.82754545623533,0.337,0.746,9.00333461478464e-176,"Met.7","C5H5N5+Cl"
9.78233945630359e-167,2.38675045111958,0.389,0.125,9.29322248348841e-165,"Met.7","C6H14NO7P-H"
1.68498316210189e-151,-1.36001655943323,0.373,0.764,1.6007340039968e-149,"Met.7","C4H9N3O2+Cl"
2.7062416586682e-135,-1.85423178521442,0.194,0.577,2.57092957573479e-133,"Met.7","C7H12N2O3-H"
2.76261296244498e-132,-1.70886165710335,0.212,0.594,2.62448231432273e-130,"Met.7","C4H7NO3-H"
2.12428838024469e-111,-2.53900698946835,0.084,0.414,2.01807396123246e-109,"Met.7","C5H7NO4-H"
