"acronym","id","name","parent_structure_id","structure_id_path","depth"
"Isocortex",315,"Isocortex",695,"/997/8/567/688/695/315/",5
"OLF",698,"Olfactory areas",695,"/997/8/567/688/695/698/",5
"CA1so",399,"Field CA1, stratum oriens",382,"/997/8/567/688/695/1089/1080/375/382/399/",9
"CA1sp",407,"Field CA1, pyramidal layer",382,"/997/8/567/688/695/1089/1080/375/382/407/",9
"CA1sr",415,"Field CA1, stratum radiatum",382,"/997/8/567/688/695/1089/1080/375/382/415/",9
"CA2so",438,"Field CA2, stratum oriens",423,"/997/8/567/688/695/1089/1080/375/423/438/",9
"CA2sp",446,"Field CA2, pyramidal layer",423,"/997/8/567/688/695/1089/1080/375/423/446/",9
"CA2sr",454,"Field CA2, stratum radiatum",423,"/997/8/567/688/695/1089/1080/375/423/454/",9
"CA3slu",479,"Field CA3, stratum lucidum",463,"/997/8/567/688/695/1089/1080/375/463/479/",9
"CA3so",486,"Field CA3, stratum oriens",463,"/997/8/567/688/695/1089/1080/375/463/486/",9
"CA3sp",495,"Field CA3, pyramidal layer",463,"/997/8/567/688/695/1089/1080/375/463/495/",9
"CA3sr",504,"Field CA3, stratum radiatum",463,"/997/8/567/688/695/1089/1080/375/463/504/",9
"DG-mo",10703,"Dentate gyrus, molecular layer",726,"/997/8/567/688/695/1089/1080/726/10703/",8
"DG-po",10704,"Dentate gyrus, polymorph layer",726,"/997/8/567/688/695/1089/1080/726/10704/",8
"DG-sg",632,"Dentate gyrus, granule cell layer",726,"/997/8/567/688/695/1089/1080/726/632/",8
"RHP",822,"Retrohippocampal region",1089,"/997/8/567/688/695/1089/822/",6
"CTXsp",703,"Cortical subplate",688,"/997/8/567/688/703/",4
"CP",672,"Caudoputamen",485,"/997/8/567/623/477/485/672/",6
"CEAc",544,"Central amygdalar nucleus, capsular part",536,"/997/8/567/623/477/278/536/544/",7
"CEAl",551,"Central amygdalar nucleus, lateral part",536,"/997/8/567/623/477/278/536/551/",7
