"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.14039389997762e-113,1.42200570350351,0.873,0.342,8.68337420497874e-111,"TU","C11H16N2O8-H"
9.4560790150406e-54,1.11638081291267,0.758,0.382,8.98327506428857e-52,"TU","C6H12O6-H"
3.32026316545288e-37,1.21024112382,0.443,0.189,3.15425000718023e-35,"TU","C6H10O7-H"
4.15283435939141e-113,1.14999584290036,0.595,0.463,3.94519264142184e-111,"Uncertain","C23H46NO7P-H"
3.88870844682141e-101,1.1631120048812,0.47,0.329,3.69427302448034e-99,"Uncertain","C11H16N2O8-H"
6.85561029890893e-95,1.16057911308589,0.45,0.318,6.51282978396348e-93,"Uncertain","C8H15NO9S-H"
8.69870332006567e-87,1.03438897495549,0.726,0.648,8.26376815406239e-85,"Uncertain","C6H12O9S-H"
1.41831920955452e-43,1.1130403454302,0.185,0.115,1.34740324907679e-41,"Uncertain","C21H41O7P-H"
3.05018409695706e-10,1.1996329297702,0.524,0.25,2.89767489210921e-08,"CA3so","C10H17N3O6-H"
3.80028949898958e-07,1.32779209457252,0.381,0.19,3.6102750240401e-05,"CA3so","C5H6O5-H"
9.6386467956847e-06,1.11602671446098,0.343,0.18,0.000915671445590047,"CA3so","C4H8O5-H"
2.52626943234626e-05,1.20462000192669,0.305,0.156,0.00239995596072894,"CA3so","C5H4O5-H"
6.06750224248647e-05,-1.99684409260269,0.152,0.336,0.00576412713036215,"CA3so","C8H15NO9S-H"
0.000290679734298615,-1.50351372458288,0.352,0.482,0.0276145747583684,"CA3so","C23H46NO7P-H"
0,-5.10988569523111,0.161,0.693,0,"OLF","C6H12O9S-H"
0,-5.03298178298303,0.068,0.51,0,"OLF","C23H46NO7P-H"
2.50062504291357e-108,-2.9044152884844,0.129,0.35,2.37559379076789e-106,"OLF","C8H15NO9S-H"
6.98591666500773e-40,-1.03965816225511,0.258,0.393,6.63662083175734e-38,"OLF","C5H12NO6P-H"
8.48894499725065e-38,-1.68573553905609,0.072,0.178,8.06449774738812e-36,"OLF","C6H10O6-H"
1.58480096851014e-36,-1.3906829483475,0.091,0.199,1.50556092008464e-34,"OLF","C6H10O7-H"
1.46751021191627e-26,-1.66110656836867,0.272,0.353,1.39413470132046e-24,"OLF","C11H16N2O8-H"
1.3531041966173e-22,-1.6905229318124,0.059,0.129,1.28544898678644e-20,"OLF","C21H41O7P-H"
1.07550479256519e-15,-1.02109531639438,0.079,0.139,1.02172955293693e-13,"OLF","C6H14NO7P-H"
4.97960593383947e-75,1.5745693003398,0.794,0.344,4.7306256371475e-73,"CEAc","C11H16N2O8-H"
1.36042116434179e-28,1.0504756306489,0.677,0.383,1.2924001061247e-26,"CEAc","C6H12O6-H"
1.54040310989498e-17,-2.60633430253184,0.282,0.483,1.46338295440023e-15,"CEAc","C23H46NO7P-H"
1.03168138830796e-09,1.20751223730464,0.247,0.132,9.80097318892559e-08,"CEAc","C6H11O9P-H"
1.48249827234248e-07,-1.94916859916815,0.712,0.658,1.40837335872536e-05,"CEAc","C6H12O9S-H"
5.39598278392024e-07,-1.84120931635039,0.222,0.337,5.12618364472423e-05,"CEAc","C8H15NO9S-H"
7.16293723949335e-05,-1.66145682396547,0.054,0.128,0.00680479037751869,"CEAc","C5H4N4-H"
0.000113747598958229,-2.01784549535476,0.054,0.125,0.0108060219010318,"CEAc","C21H41O7P-H"
2.0228229741445e-153,-2.53823656587964,0.482,0.669,1.92168182543727e-151,"CTXsp","C6H12O9S-H"
1.21453850870052e-144,-2.8847956119925,0.218,0.497,1.15381158326549e-142,"CTXsp","C23H46NO7P-H"
5.90674563381228e-66,-2.20547565517983,0.165,0.346,5.61140835212167e-64,"CTXsp","C8H15NO9S-H"
9.95958996892016e-34,-1.09467258933715,0.195,0.323,9.46161047047415e-32,"CTXsp","C5H4N4O2-H"
6.07661325621619e-17,-1.58634756610198,0.064,0.128,5.77278259340538e-15,"CTXsp","C21H41O7P-H"
1.97651614604112e-15,-1.06088279526369,0.075,0.138,1.87769033873906e-13,"CTXsp","C6H14NO7P-H"
5.34121760553708e-73,2.52200502220039,0.991,0.346,5.07415672526022e-71,"DMHp","C11H16N2O8-H"
1.05479732768129e-60,-1.07164352925949,1,1,1.00205746129722e-58,"DMHp","C2H7NO3S-H"
6.82329713214533e-32,1.54726761001697,0.908,0.384,6.48213227553807e-30,"DMHp","C6H12O6-H"
3.78669538796002e-19,1.33612326987872,0.798,0.402,3.59736061856202e-17,"DMHp","C6H10N2O4-H"
3.28107724065891e-11,1.11845976505983,0.651,0.348,3.11702337862596e-09,"DMHp","C6H6O6-H"
3.74137704540834e-07,1.54999724559899,0.284,0.126,3.55430819313792e-05,"DMHp","C3H10NO4P-H"
4.27097225844014e-07,1.16347805441882,0.367,0.18,4.05742364551814e-05,"DMHp","C4H8N2O3-H"
8.03486019740541e-07,1.11036412114627,0.45,0.255,7.63311718753514e-05,"DMHp","C5H8O6-H"
