"Term","condition","TP","FP","FN","TN","TP_markers","statistic","score","p_value","q.value"
"Glycerophosphoethanolamines","fi",2,5,1,77,"C23H46NO7P;C5H14NO6P","ora",1.77112911280621,0.0169383416017009,0.0169383416017009
"Glycerophosphoethanolamines","GPi",2,6,1,76,"C23H46NO7P;C5H14NO6P","ora",1.64983993113594,0.0223954642097803,0.0223954642097803
"Organic nitro compounds","VL",2,6,0,77,"C10H16N4O3;C3H7NO3","ora",2.10551018476997,0.00784313725490196,0.00784313725490196
"Purines and purine derivatives","VL",3,5,1,76,"C5H5N5;C5H5N5O;C5H4N4O2","ora",2.66470654159967,0.00216418039446164,0.00216418039446164
"Purines and purine derivatives","CA3sp",3,2,1,79,"C5H5N5;C5H5N5O;C5H4N4O2","ora",3.40058303445649,0.000397573075659885,0.000397573075659885
"Purines and purine derivatives","DG-sg",4,6,0,75,"C5H5N5;C5H5N5O;C5H4N4O2;C5H4N4","ora",3.98415962009044,0.000103714715389535,0.000103714715389535
"Purines and purine derivatives","DG-mo",2,3,2,78,"C5H5N5O;C5H4N4O2","ora",1.79576688903519,0.0160041683437995,0.0160041683437995
"Purines and purine derivatives","MH",3,1,1,80,"C5H5N5;C5H5N5O;C5H4N4O2","ora",3.79449555384548,0.000160510869055233,0.000160510869055233
"Purines and purine derivatives","CA2sp",3,7,1,74,"C5H5N5;C5H5N5O;C5H4N4O2","ora",2.34211928462751,0.00454863108922676,0.00454863108922676
"Tricarboxylic acids and derivatives","DG-po",2,4,1,78,"C6H8O7;C6H6O6","ora",1.91363800685772,0.0122000607471904,0.0122000607471904
"Tricarboxylic acids and derivatives","DG-sg",2,8,1,74,"C6H8O7;C6H6O6","ora",1.4511778736869,0.0353852384327225,0.0353852384327225
"Tricarboxylic acids and derivatives","CA1so",2,2,1,80,"C6H8O7;C6H6O6","ora",2.30442897374009,0.00496102055279943,0.00496102055279943
"Tricarboxylic acids and derivatives","CA1sp",2,3,1,79,"C6H8O7;C6H6O6","ora",2.08614003488995,0.00820087070972968,0.00820087070972968
"Tricarboxylic acids and derivatives","CA2sp",2,8,1,74,"C6H8O7;C6H6O6","ora",1.4511778736869,0.0353852384327225,0.0353852384327225
"Tricarboxylic acids and derivatives","CA1sr",2,8,1,74,"C6H8O7;C6H6O6","ora",1.4511778736869,0.0353852384327225,0.0353852384327225
