"view","Predictor","Target","Importance"
"Metabo","C10H16N4O3_H","VL",2.26026231942278
"Metabo","C11H16N2O8_H","DMHa",5.47424218680759
"Metabo","C11H16N2O8_H","LHA",3.35880802491667
"Metabo","C23H46NO7P_H","cc",2.53867420046068
"Metabo","C2H7NO3S_H","ARH",3.03383376244792
"Metabo","C2H7NO3S_H","CA1so",2.40115144410173
"Metabo","C2H7NO3S_H","CA1sp",2.48426087884771
"Metabo","C2H7NO3S_H","CEAl",2.15944071830318
"Metabo","C2H7NO3S_H","CEAm",3.45213771536088
"Metabo","C2H7NO3S_H","CP",8.78923880177497
"Metabo","C2H7NO3S_H","CTXsp",2.44346173749203
"Metabo","C2H7NO3S_H","DMHa",5.42986972211981
"Metabo","C2H7NO3S_H","Isocortex",3.58610480940599
"Metabo","C2H7NO3S_H","LHA",4.03003220056657
"Metabo","C2H7NO3S_H","MEAad",5.53271060449639
"Metabo","C2H7NO3S_H","MEAav",2.77871205446803
"Metabo","C2H7NO3S_H","OLF",5.9862155991786
"Metabo","C2H7NO3S_H","RT",4.48229118124849
"Metabo","C2H7NO3S_H","TU",7.36314265201759
"Metabo","C2H7NO3S_H","VAL",5.2485475781306
"Metabo","C2H7NO3S_H","VL",2.20705522432949
"Metabo","C2H7NO3S_H","VMHc",5.99291794113118
"Metabo","C2H7NO3S_H","VMHdm",3.33619759908769
"Metabo","C2H7NO3S_H","VMHvl",8.40075058256421
"Metabo","C2H7NO3S_H","VPM",4.66710834272909
"Metabo","C2H7NO3S_H","cc",2.7469605209868
"Metabo","C2H8NO4P_H","CA2sp",3.64363536502601
"Metabo","C2H8NO4P_H","DG_sg",7.03516583114892
"Metabo","C3H9O6P_H","OLF",2.67940915489035
"Metabo","C3H9O6P_H","RT",2.62033307366544
"Metabo","C4H6O5_H","ME",5.61350930325018
"Metabo","C4H6O5_H","TU",2.52553784014587
"Metabo","C4H7NO4_H","ARH",5.41455067750195
"Metabo","C4H7NO4_H","CA3sp",6.6052770615743
"Metabo","C4H7NO4_H","CEAl",4.11750778210573
"Metabo","C4H7NO4_H","CEAm",3.92971016666751
"Metabo","C4H7NO4_H","CP",2.45566412795255
"Metabo","C4H7NO4_H","GPe",2.58361880413331
"Metabo","C4H7NO4_H","LH",6.77007688823566
"Metabo","C4H7NO4_H","ME",4.57114039709924
"Metabo","C4H7NO4_H","MEAad",2.47627058279189
"Metabo","C4H7NO4_H","MH",7.48085700377302
"Metabo","C4H7NO4_H","VMHc",5.13494888877648
"Metabo","C4H7NO4_H","VMHdm",2.95512852350887
"Metabo","C4H7NO4_H","VMHvl",2.00834781005578
"Metabo","C4H7NO4_H","VPM",2.48100211591856
"Metabo","C4H7NO4_H","cc",5.12081648301751
"Metabo","C4H7NO4_H","fi",7.55138160131447
"Metabo","C5H10N2O3_H","ARH",4.84930728118032
"Metabo","C5H10N2O3_H","CA2sp",2.86146706041866
"Metabo","C5H10N2O3_H","LH",2.97077077637291
"Metabo","C5H10N2O3_H","MEAad",2.71597655688775
"Metabo","C5H10N2O3_H","MEAav",2.05182525053239
"Metabo","C5H10N2O3_H","RT",3.17200769567582
"Metabo","C5H10N2O3_H","VL",4.87378890205097
"Metabo","C5H10N2O3_H","VMHc",3.2556741282782
"Metabo","C5H10N2O3_H","VMHdm",4.59687579701494
"Metabo","C5H5N5_Cl","DG_sg",2.30821330307512
"Metabo","C5H5N5_Cl","VL",2.13657194900982
"Metabo","C5H5N5_H","CA1so",2.07446611955209
"Metabo","C5H5N5_H","DG_sg",3.38963933463832
"Metabo","C5H5N5_H","VL",2.50561064181468
"Metabo","C5H9NO4_H","CA3sp",4.51513788720712
"Metabo","C5H9NO4_H","CTXsp",5.17209933944883
"Metabo","C5H9NO4_H","DMHa",2.29243721960714
"Metabo","C5H9NO4_H","GPe",8.4753996908191
"Metabo","C5H9NO4_H","LHA",4.94686436464037
"Metabo","C5H9NO4_H","VAL",5.75605710745234
"Metabo","C5H9NO4_H","fi",2.10538401910023
"Metabo","C6H12O6_Cl","ARH",2.59935340696774
"Metabo","C6H12O6_Cl","CA1sp",3.06676617561097
"Metabo","C6H12O6_Cl","CA2sp",3.69604334570318
"Metabo","C6H12O6_Cl","CEAl",7.19185566406302
"Metabo","C6H12O6_Cl","CEAm",6.29722024132598
"Metabo","C6H12O6_Cl","CTXsp",5.21551462637491
"Metabo","C6H12O6_Cl","Isocortex",6.75574866100637
"Metabo","C6H12O6_Cl","LHA",2.33010598505783
"Metabo","C6H12O6_Cl","MEAad",5.07594443740755
"Metabo","C6H12O6_Cl","MEAav",5.87101939486504
"Metabo","C6H12O6_Cl","VMHc",2.07729267271755
"Metabo","C6H12O6_Cl","VMHdm",5.39397624461563
"Metabo","C6H12O9S_H","ARH",2.46296502118543
"Metabo","C6H12O9S_H","DMHa",2.4678029471494
"Metabo","C6H12O9S_H","LHA",3.81150466537823
"Metabo","C6H12O9S_H","OLF",2.5552021666803
"Metabo","C6H12O9S_H","RT",3.75190188173837
