"package","version"
"AnnotationDbi","1.56.2"
"ComplexHeatmap","2.10.0"
"DIALOGUE","1.0"
"KEGGgraph","1.54.0"
"KEGGREST","1.34.0"
"Matrix","1.6-5"
"RColorBrewer","1.1-2"
"RMariaDB","1.2.2"
"RaMP","2.3.1"
"S2IsoMEr","0.5.0"
"S2IsoMErData","1.0"
"Seurat","5.2.1"
"SeuratObject","5.0.2"
"anndataR","0.1.0.9008"
"aricode","1.0.3"
"assertthat","0.2.1"
"circlize","0.4.15"
"colorspace","2.0-2"
"cowplot","1.1.1"
"dbscan","1.1-11"
"distances","0.1.8"
"dplyr","1.1.2"
"fgsea","1.20.0"
"fplot","1.1.0"
"ggcorrplot","0.1.4.1"
"ggh4x","0.3.0"
"ggpubr","0.4.0"
"ggrepel","0.9.1"
"ggridges","0.5.3"
"ggsci","4.2.0"
"ggvenn","0.1.9"
"grid","4.1.2"
"httr","1.4.2"
"igraph","1.3.1"
"loomR","0.2.1.9000"
"mistyR","1.10.0"
"org.Mm.eg.db","3.14.0"
"pals","1.9"
"paxtoolsr","1.28.0"
"pheatmap","1.0.12"
"plyr","1.8.6"
"purrr","1.0.2"
"readr","2.1.1"
"readxl","1.3.1"
"scLink","1.0.1"
"sf","1.0-8"
"stringr","1.5.1"
"tibble","3.2.1"
"tidyr","1.3.1"
"tidytext","0.4.1"
"tidyverse","1.3.1"
"uwot","0.1.11"
